origin,destination
"45.704959599999924, 16.195459000000007","45.5063114, 15.977213500000008"
"43.14767819999999, 16.797433000000016","43.127319800000066, 17.123820900000073"
"45.08060719999978, 18.482156799999967","45.274541500000474, 18.693047200000052"
"45.80158509999994, 17.49923519999996","45.97090200000015, 17.200888499999962"
"45.68658330000004, 16.59948079999993","45.90156670000003, 16.854599999999994"
"45.16728420000015, 18.60353169999995","45.27810509999994, 18.926109899999986"
"43.14268960000006, 16.811304199999988","43.13285000000059, 17.146418499999978"
"45.52870799999999, 18.306101899999952","45.52078989999978, 17.939988799999895"
"45.7136968999999, 16.495479799999995","45.86227870000021, 16.829064800000083"
"45.77442440000004, 16.741554299999954","45.69797669999987, 16.377895600000024"
"43.124596000000004, 17.100133899999978","43.15809229999998, 16.742384600000022"
"45.827213225, 16.748226250000002","45.64804100000059, 16.46803880000003"
"43.74597279999999, 16.395784099999926","43.62742640000001, 16.718532600000003"
"43.15442270000005, 16.869415299999904","43.12479429999977, 17.196006900000008"
"43.430990699999896, 16.881444000000062","43.46432710000015, 16.582325099999945"
"45.28867370000042, 18.696988100000063","45.079017499999935, 18.49094890000008"
"45.26797900000019, 18.908903700000007","45.15978580000015, 18.592011699999954"
"45.856225000000116, 16.946878300000083","45.756422100000066, 16.59321719999994"
"45.227739500000034, 18.41681490000001","45.23575990000005, 18.753608299999975"
"45.83751550000002, 16.86300499999998","45.729837600000245, 16.495437600000013"
"43.74064270000006, 16.442055200000016","43.61641040000002, 16.7255444"
"45.83168329999983, 16.764552300000044","45.6918502, 16.392113900000005"
"45.80574379999996, 16.729038500000005","45.67721630000017, 16.351710700000066"
"43.54164250000003, 16.318622800000053","43.446016299999904, 16.63085200000006"
"45.26473669999984, 18.670257199999945","45.17853719999993, 18.31323409999999"
"45.5450501999999, 18.302460200000016","45.524587600000004, 17.92120769999999"
"45.71311219999991, 16.31340280000009","45.7867971, 16.684497800000003"
"45.17137119999998, 18.61849780000004","45.296261700000436, 18.943251000000036"
"45.7035805, 16.400254500000003","45.8249252, 16.7431018"
"45.89734470000013, 16.82151130000002","45.721214200000006, 16.54404499999999"
"43.13177540000001, 17.131926699999973","43.16060929999998, 16.746179900000023"
"45.25609160000002, 18.905017199999985","45.14951609999998, 18.58516680000004"
"45.29282950000035, 18.06078139999991","45.34605349999997, 18.46687430000004"
"43.74147180000029, 16.395374500000013","43.723985700000064, 16.718987899999984"
"43.714994499999825, 16.735106799999958","43.73337739999991, 16.40080759999993"
"43.122036200000274, 17.17414990000005","43.13786739999995, 16.85963270000005"
"45.89857300000003, 16.878770999999908","45.67497830000004, 16.61062069999998"
"45.07316700000019, 18.521046299999977","45.29716940000043, 18.696096300000065"
"45.07557450000018, 18.51327079999997","45.28920739999995, 18.690173999999853"
"45.88146589999998, 16.850710999999933","45.70968260000037, 16.526479599999956"
"45.306046200000054, 17.951001399999942","45.302281000000356, 18.341000699999935"
"43.45548700000012, 16.61788510000003","43.41533560000034, 16.898941199999992"
"45.83477039999985, 16.79087130000003","45.69792730000005, 16.4313583"
"45.819855100000154, 16.79694310000009","45.69540420000047, 16.46289989999997"
"43.72291590000013, 16.723427600000036","43.70494819999994, 16.396817699999932"
"45.32284479999992, 18.41713299999997","45.31285950000022, 18.031936299999934"
"45.68239800000017, 16.352788600000064","45.81166949999978, 16.723203700000024"
"45.310443700000036, 18.798286799999953","45.13636969999998, 18.57680720000005"
"43.13380730000001, 17.154528099999975","43.14621410000003, 16.838050500000023"
"45.83395420000029, 16.813154000000093","45.712427300000414, 16.43205689999999"
"45.249969500000006, 18.76738080000007","45.229063399999816, 18.429355600000058"
"45.28850480000042, 18.71358430000006","45.11270770000005, 18.46383940000004"
"43.130612399999755, 17.187832299999968","43.15373690000004, 16.8689952999999"
"43.52836580000002, 16.28605770000008","43.45785980000012, 16.6098474"
"46.00194759999997, 17.202515699999967","45.808138600000184, 17.517002199999972"
"45.69813909999988, 16.437430199999973","45.80757150000015, 16.81131330000009"
"45.31142390000022, 18.029898799999934","45.31198549999999, 18.40020220000001"
"43.69912369999983, 16.42468420000001","43.6088552999997, 16.708510000000075"
"45.26068399999997, 18.92202900000004","45.16262680000015, 18.597226049999954"
"45.82068759999977, 16.83788919999994","45.72406050000004, 16.4788702000001"
"45.722997700000015, 16.547421899999996","45.91123839999998, 16.88796579999998"
"45.310826300000215, 18.023866599999934","45.347255400000066, 18.410182999999986"
"45.88135200000002, 16.868037599999997","45.72621590000182, 16.553431199999967"
"46.27828960000018, 16.236507699999883","46.43981059999985, 16.376859499999956"
"45.25302790000004, 18.958125899999963","45.17019610000003, 18.556333700000064"
"43.442064600000066, 16.67897790000015","43.50813599999989, 16.389653599999964"
"45.82956560000005, 16.74004730000005","45.70707460000051, 16.399773699999994"
"43.15583039999994, 16.73702020000002","43.13142580000001, 17.126088699999976"
"43.12395840000013, 17.12058080000007","43.155896299999945, 16.737199100000023"
"45.61567700000005, 16.523469199999948","45.83147430000002, 16.78903770000006"
"45.75187230000002, 17.58394290000005","45.931871900000296, 17.295081299999996"
"45.65682469999986, 16.347969599999967","45.797749400000015, 16.705963800000003"
"45.30348740000028, 18.096427499999955","45.30776039999989, 18.463091000000034"
"45.2183317000003, 18.414560900000044","45.24545919999999, 18.761776800000042"
"45.17359299999989, 18.648236700000027","45.25044610000001, 18.975809199999954"
"43.15373690000004, 16.8689952999999","43.125966599999785, 17.195769699999968"
"45.685925200000156, 16.35333499999997","45.795901999999984, 16.75618140000001"
"43.1271793, 17.09667669999998","43.15601129999999, 16.738048900000024"
"43.15809229999998, 16.742384600000022","43.129651100000586, 17.124709199999977"
"45.7544525, 16.35130669999999","45.80854440000004, 16.739707100000043"
"45.7076387, 16.345335000000066","45.79702440000004, 16.695150100000035"
"43.72648230000027, 16.360606399999924","43.643221699999884, 16.679865199999988"
"43.553806599999966, 16.34808539999999","43.43952219999994, 16.664320699999987"
"45.16845000000014, 18.607627399999952","45.29370580000042, 18.94951920000004"
"45.38777180000001, 14.324534599999998","45.20521400000006, 14.235960899999998"
"45.42177299999995, 16.487767199999904","45.59860250000022, 16.180450000000057"
"45.68315990000004, 16.593311699999933","45.89532849999996, 16.83109689999997"
"45.23640220000005, 18.74667769999997","45.22948450000004, 18.4096634"
"43.143267399999964, 16.82058990000005","43.12869200000027, 17.176631900000043"
"43.63975240000003, 16.71572309999997","43.738367799999956, 16.3796265999999"
"44.024412800000974, 16.196226799999934","44.260193200000025, 16.025683799999936"
"45.79545179999996, 17.499804299999955","45.96876424999998, 17.191447000000007"
"43.13130279999996, 16.875867200000016","43.125966599999785, 17.195769699999968"
"43.15517780000005, 16.870284599999916","43.12479429999977, 17.196006900000008"
"45.51359370000013, 16.16199019999996","45.40898830000015, 16.523240399999928"
"45.61323680000016, 16.52514709999997","45.838953300000334, 16.777676500000123"
"45.72853050000002, 16.636216199999993","45.926174800000005, 16.89082469999995"
"45.707588800000146, 15.814882399999966","45.87298590000017, 16.01288119999994"
"45.80012660000049, 17.54543980000005","45.95898130000016, 17.23257079999995"
"45.862296200000024, 16.843741599999984","45.71164800000041, 16.464351399999973"
"45.89004549999991, 16.88585759999995","45.75477380000037, 16.565258900000003"
"43.73800509999996, 16.380320399999896","43.61757589999996, 16.702522400000053"
"45.68281090000003, 17.667491399999964","45.86303640000019, 17.322403899999955"
"45.70610669999987, 16.471696600000037","45.784868699999826, 16.850237599999936"
"45.71100540000002, 16.490739399999935","45.82160729999977, 16.841311699999938"
"45.8324017, 16.796138300000003","45.62483280000014, 16.52972349999989"
"45.13742039999998, 18.54666240000005","45.34566779999988, 18.73360340000006"
"43.532285800000004, 16.29266180000007","43.45176299999985, 16.632933099999942"
"43.12244330000013, 17.113203000000073","43.14337340000025, 16.756365999999947"
"45.225616100000124, 14.229298","45.390778799999936, 14.319143499999997"
"43.46515550000017, 16.58042900000005","43.42972400000039, 16.883778599999992"
"44.843216699999985, 15.601062500000031","44.90600370000003, 15.151686200000006"
"42.54858019999981, 18.29086089999994","42.714926800000754, 17.979974799999965"
"46.27495969999995, 16.863700299999962","46.476871599999974, 16.511947299999985"
"45.456220599999924, 18.892995900000006","45.21302250000033, 19.189249799999946"
"46.24441690000044, 16.723392500000013","46.23164280000006, 16.251345400000048"
"45.86622140000015, 16.169763200000062","45.502613400000165, 15.95557029999993"
"45.826855, 16.1585475","45.73048469999987, 16.68145869999994"
"45.32677340000006, 19.04139090000007","45.54980610000008, 18.666084599999994"
"45.444381900000025, 13.929820000000003","45.26927430000009, 13.600655699999972"
"45.563340700000204, 16.645895100000004","45.293218899999985, 17.137613299999984"
"45.217762499999864, 17.653453400000096","45.09652649999986, 18.18428849999993"
"45.18113709999993, 18.866130199999986","44.868186699999924, 18.99933959999998"
"45.613402400000055, 18.802509000000033","45.546387899999885, 18.336593999999934"
"45.33330140000034, 19.02116730000001","45.571779499999934, 18.635276599999994"
"45.45061230000007, 13.923502600000019","45.26981639999998, 13.640252899999998"
"43.604141200000036, 16.190665799999927","43.439271800000284, 16.669410800000026"
"45.257068599999904, 13.607658999999996","45.43942059999981, 13.957373999999927"
"45.33657590000003, 19.000397500000002","45.21781129999998, 19.41359020000002"
"44.89578650000029, 14.377026299999939","44.61580780000002, 14.505712799999984"
"42.4887411000002, 18.39734669999999","42.68270290000006, 18.089975299999992"
"43.92125909999994, 15.498673399999957","44.164423600000504, 15.186935000000014"
"42.70492760000007, 18.09044569999998","42.51022069999995, 18.34178769999998"
"45.847252400000244, 16.145478600000203","45.732448300000094, 16.67966379999995"
"43.49100299999977, 16.53956799999995","43.49222549999966, 16.071271199999973"
"43.52588230000007, 16.0971895","43.49277100000051, 16.558060099999903"
"45.16642050000005, 18.11708829999994","45.21645089999996, 17.52189699999999"
"45.471503299999966, 16.427480699999993","45.75404960000027, 16.023025000000008"
"46.369276199999824, 16.10728149999993","46.301144399999984, 16.575722999999993"
"42.70536530000003, 18.083437300000003","42.51694529999999, 18.362950099999843"
"45.670866599999954, 16.278082099999946","46.012061900000035, 16.12488420000004"
"45.74407610000002, 16.67171539999992","45.75038170000007, 16.085659799999956"
"45.114929199999956, 14.825764599999962","45.36978809999993, 14.46641520000001"
"42.68064740000003, 18.058570900000046","42.5087973, 18.350322999999975"
"45.44171189999982, 13.953416799999927","45.30392080000016, 13.650563700000014"
"45.21045140000032, 19.23358959999995","45.417869500000535, 18.904110000000074"
"45.139727199999996, 14.774931299999992","45.353447000000074, 14.449137299999977"
"42.666952300000105, 18.080846100000063","42.492948699999985, 18.42932099999984"
"42.801701799999805, 17.86373859999993","42.62520540000005, 18.175646700000023"
"45.34734050000006, 18.97893160000001","45.224391499999996, 19.39143950000004"
"44.1855523999999, 15.502382799999998","44.40424369999986, 15.109742399999982"
"45.318831500000115, 14.542101400000066","45.09448960000008, 14.851962400000003"
"45.5596898000004, 18.6986006","45.33131059999992, 19.046202000000022"
"43.50549720000001, 16.506097099999934","43.54627549999997, 16.01784650000002"
"45.125786399999825, 18.90195979999995","45.455601999999935, 18.88758960000003"
"42.545519600000034, 18.3406529999999","42.7015692, 18.01362429999999"
