origin,destination
"48.05927209999994, 3.8499279999999967","48.21525850000019, 4.009625199999998"
"49.448032699999025, 4.2657330999999905","49.61941119999992, 4.206359799999997"
"48.69019940000005, 5.2245074000000065","48.57095370000004, 5.035095999999989"
"48.02319040000001, 3.74871450000001","47.90399190000003, 3.619778"
"48.25318209999998, 3.9812458000000017","48.17058390000012, 3.6565522000000077"
"48.09134989999985, 3.6504077000000077","48.232353299999964, 3.524990500000004"
"48.42766570000016, 4.146312399999995","48.07976439999997, 4.1337606000000005"
"48.45097460000016, 4.109392599999986","48.775504999999534, 4.218569500000015"
"48.170286899998366, 3.523377200000004","48.02235940000001, 3.6167278999999977"
"48.6511446, 5.265196699999989","48.57660349999873, 4.8697741999999975"
"48.42924249999986, 5.5132432999999965","48.54181719999997, 5.357545599999997"
"49.188973099998336, 4.0548018999999895","49.05579614999998, 4.455413300000001"
"48.36125659999967, 4.532785400000008","48.143992299999816, 4.531684700000004"
"48.4552494999983, 3.431489799999988","48.28062270000023, 3.3958044000000074"
"48.67428670000002, 3.4635567000000016","48.80133399999966, 3.727516200000001"
"48.868444199999935, 4.0136135000000035","48.67775450000019, 4.107168799999999"
"49.53344599999995, 4.502352300000018","49.370816199999894, 4.087455400000009"
"48.75603070000003, 4.589574399999998","48.63500529999995, 5.389040100000018"
"48.450729100000125, 5.592450700000006","48.671829599999874, 5.343008700000016"
"49.108670599999876, 3.477387499999993","49.286593800000105, 4.167472600000018"
"48.52237489999921, 4.851001199999987","48.671033599999966, 5.326255199999997"
"48.31004349999994, 3.9584480999999982","48.21750690000005, 4.533442999999994"
"48.105144700000004, 4.281315500000003","48.291181700000124, 3.7260710999999915"
"49.644951599999985, 4.172461600000012","49.314638799999884, 4.235508300000001"
"48.257064899996074, 4.210254899999999","48.34065709999997, 3.609491100000002"
"49.136926, 4.9165562000000005","49.00930949999998, 4.250389700000005"
"49.102409599999966, 3.8760805999999866","49.393331799999984, 4.2379479999999985"
"48.20491760000006, 4.4450520000000076","48.42947319999866, 3.870739100000002"
"48.313534499999825, 3.3591407","48.29350939999995, 3.9405367000000022"
"48.8959430999998, 4.554596100000006","48.608015600000044, 5.016519400000006"
"49.41674760000009, 4.127031899999975","49.139783599999845, 3.7372594000000037"
"49.359720300000006, 4.262258699999996","49.17180260000001, 3.646964300000001"
"49.4011859500001, 4.3523785500000045","49.440119199996346, 3.8522504000000017"
"48.30651979999997, 3.6126559999999914","48.161406099999994, 4.098187900000004"
"48.64329559999986, 5.083997599999998","48.88264189999999, 4.461248300000001"
"46.22169110000026, 1.8560854000000109","46.251196400000865, 1.900383300000005"
"46.93864889999959, 0.4821867000000041","46.998326799999816, 0.4375130000000093"
"45.57805899999899, 0.5374050000000008","45.55222059999729, 0.4523857000000062"
"46.23236300000032, 1.334831400000011","46.23090939999986, 1.4636740999999964"
"46.904164600000065, 2.188371","46.84461890000013, 2.099981500000011"
"46.37112029999994, -0.40301999999999466","46.43010159999995, -0.35813609999999896"
"45.67557460000011, 0.3657677999999898","45.73292549999981, 0.4115179000000135"
"47.04650649999893, 1.3195857000000122","47.06836440000032, 1.412397600000004"
"46.384602200000096, 1.2089161000000002","46.44556669999989, 1.2984441000000113"
"45.63837310000024, 0.9694031000000026","45.60822719999935, 0.8822624000000019"
"47.09575529999732, 1.8540667999999956","47.06978159999985, 1.9432110000000014"
"46.0635070000001, 0.7263416999999993","46.0619011999998, 0.5907548999999933"
"45.214592999999496, 0.9125377999999997","45.2102008999983, 0.9985873000000088"
"46.46019070000024, -0.22689189999999854","46.52216949999889, -0.22622189999998962"
"45.432843799999794, 0.44794780000001183","45.40437780000012, 0.3636661999999975"
"46.230016100000014, 1.5083998999999884","46.19290799999997, 1.7657585000000144"
"46.72523499999733, 2.1836143000000003","46.75723180000011, 2.0999982"
"46.8502106999999, 0.3458764999999807","46.91200630000003, 0.30172599999997746"
"46.74720140000002, 1.2669455999999932","46.835329699999996, 1.2725537000000058"
"46.85950860000018, 1.6661767000000056","46.91472419999999, 1.7581838999999966"
"46.26298969999994, 1.3350130999999987","46.2351330000002, 1.1185314999999632"
"46.40021219999983, -0.40252660000000373","46.46364770000027, -0.009750500000004735"
"46.94539990000008, 1.932279500000013","46.76203340000007, 1.933970000000014"
"46.66092389999968, 2.4015623000000033","46.37833300000088, 2.733850200000006"
"45.42815590000015, 0.6209870999999896","45.45540219999999, 0.40803700000000015"
"47.02509160000009, 0.30969200000000063","46.8502106999999, 0.3458764999999807"
"47.28661880000014, 1.4155080999999947","47.46603939999922, 1.425290900000016"
"46.09468269999824, 0.11566409999998228","45.88467969999991, 0.2424752999999982"
