origin,destination
"46.65097350000002, 16.056063299999995","46.68601919999988, 15.765619100000023"
"46.537003200000264, 15.503595100000025","46.498713499999916, 15.77076410000009"
"46.699786300003026, 15.839090799999989","46.67580619999997, 16.113069100000004"
"46.70897699999994, 15.823942300000008","46.63278090000106, 16.13077169999999"
"46.691693000000015, 15.855534600000002","46.703938800000344, 16.119554700000002"
"46.047429000000044, 14.16618349999998","46.123302400000114, 13.95521599999992"
"46.49358420000006, 15.639386800000073","46.55368120000005, 15.344048700000002"
"46.69508220000009, 15.863925900000021","46.665799700000015, 16.163057300000066"
"46.70383680000014, 16.111912900000025","46.6957384000001, 15.858389700000057"
"46.495841599999714, 15.643215999999997","46.56514339999992, 15.341698799999932"
"46.54243329999977, 15.363104299999986","46.534278499999914, 15.644690699999977"
"45.6487412000002, 14.552056900000002","45.82251200000042, 14.296310699999935"
"46.491859200000064, 15.610520699999965","46.557758999999926, 15.347020799999934"
"46.70338410000006, 15.868469250000008","46.642995199999824, 16.139227200000036"
"46.55378439999973, 15.328501000000108","46.50553230000018, 15.694980899999976"
"46.701506399999985, 15.783802899999998","46.68091980000002, 16.052219799999897"
"46.52517960000008, 15.650416599999993","46.563967000000105, 15.33656539999999"
"46.52227870000034, 15.654646399999978","46.56698200000026, 15.357553700000008"
"46.496218900000216, 15.11139600000002","46.618964399999996, 15.013876900000092"
"46.501048500000024, 15.753333900000007","46.5342451999999, 15.456580799999966"
"46.55243410000013, 15.419322000000033","46.50848320000001, 15.701799500000014"
"46.499219399999674, 15.61099299999997","46.56667410000025, 15.356679299999985"
"46.62664190000025, 16.06176139999994","46.69529839999995, 15.782665500000023"
"46.55108410000017, 15.328451699999999","46.48255659999972, 15.628759799999996"
"45.65834930000009, 14.537753400000003","45.826842899999974, 14.298881500000022"
"46.240210700000056, 15.16194800000008","46.179618500001126, 15.031680899999984"
"46.53037669999999, 15.648189000000018","46.56508869999995, 15.346203099999931"
"46.6693583, 16.092020299999994","46.67938099999999, 15.84355120000001"
"46.539034700000165, 15.382554399999954","46.53390509999999, 15.683400800000003"
"46.69110640000002, 15.849634800000002","46.66860230000003, 16.091903399999996"
"46.56073040000014, 15.343066999999987","46.49984239999996, 15.714994100000007"
"46.69709300000007, 15.876640900000023","46.62837939999971, 16.132250700000014"
"46.69502579999989, 15.786441200000043","46.63622570000003, 16.117302399999993"
"46.7138709999998, 15.876029100000014","46.64008409999992, 16.14136959999999"
"46.654274999999686, 16.084894700000003","46.69074720000002, 15.77364109999999"
"46.67133589999991, 16.046745699999942","46.70447469999983, 15.786100900000122"
"46.65614920000002, 16.056953300000004","46.682056999999965, 15.7614849"
"46.566948900000256, 15.357349799999998","46.498553699999995, 15.636168800000013"
"46.70823220000003, 15.799774700000023","46.68056640000002, 16.0469072999999"
"46.502441300000356, 15.624228399999998","46.56341559999994, 15.336640499999932"
"46.51589920000002, 15.657094299999994","46.56530190000015, 15.342544899999984"
"46.66906800000019, 16.123396100000015","46.691369599999724, 15.856448599999995"
"46.55393230000003, 15.335069800000001","46.536900999999844, 15.634451400000124"
"46.555639300000045, 15.339484299999993","46.52418630000022, 15.668142600000039"
"46.56497820000027, 15.351526200000002","46.50598389999992, 15.62259020000001"
"46.52156900000009, 15.680349700000002","46.556339900000005, 15.347565700000006"
"46.55057500000012, 15.328609900000028","46.48434340000014, 15.604855999999955"
"46.66697469999997, 16.0976636","46.67999189999962, 15.836698099999996"
"46.49822419999994, 15.75194840000001","46.52652910000024, 15.489867000000023"
"46.50782020000002, 15.726729300000006","46.53772950000001, 15.453488999999987"
"46.70016249999998, 15.907577399999996","46.66242890000002, 16.16367770000002"
"46.67579149999985, 16.14029160000016","46.70058890000002, 15.88956709999999"
"46.51485900000002, 15.695807700000014","46.56494799999996, 15.350954999999928"
"46.49822419999994, 15.75194840000001","46.53309290000004, 15.499716099999942"
"46.06495500000022, 14.075857099999999","46.150935800002415, 13.972233699999986"
"46.52462769999979, 15.647613500000045","46.565687800000255, 15.353756299999983"
"46.54165110000016, 15.380010499999955","46.500561300000776, 15.714779599999993"
"46.69855080000008, 15.87780829999995","46.69788980000023, 16.122956"
"46.55826810000016, 15.323265600000028","46.496516899999996, 15.63885889999997"
"46.48996980000025, 15.612139100000004","46.565687800000255, 15.353756299999983"
"45.64831470000022, 14.55311300000002","45.814482199999915, 14.31220309999994"
"46.693447600000155, 15.891916900000053","46.617872200000285, 16.15082209999995"
"46.66673830000008, 16.100072900000022","46.680935999999996, 15.837093700000015"
"46.643999799999996, 16.1158876","46.71128329999978, 15.814746000000014"
"46.487743700000095, 15.623774199999957","46.555437200000114, 15.32458390000003"
"46.51577300000009, 15.640428299999986","46.56491749999993, 15.338314299999933"
"46.708902699999776, 15.807078300000011","46.64832220000058, 16.09751489999992"
"46.62960609999997, 16.116774300000017","46.712912999999965, 15.8786204"
"46.565054999999866, 15.291447900000039","46.502709400000036, 15.618983900000005"
"46.68256750000015, 16.139973599999887","46.695588700001345, 15.85188130000002"
"46.02191370000119, 14.172406000000032","46.134763500000155, 13.968933699999987"
"46.546246800000134, 15.538001900000085","46.486648100000025, 15.786660300000051"
"46.49481050000003, 15.622792799999981","46.565687800000255, 15.353756299999983"
"46.708664400000124, 16.114454400000003","46.696095900000074, 15.872868400000023"
"46.65028090000002, 16.074585899999988","46.69562069999995, 15.781984700000022"
"46.69639650000005, 15.863442400000007","46.67647509999989, 16.135478499999916"
"46.693457200000125, 16.099478600000015","46.70977459999996, 15.8116018"
"46.53239410000001, 15.470017999999984","46.478805700000045, 15.790402500000052"
"46.641605500000004, 16.101961400000036","46.6785575, 15.839581500000007"
"46.538583599999946, 15.393708399999941","46.49353779999994, 15.639746300000029"
"46.564457100000155, 15.349721599999983","46.54399679999983, 15.669040600000024"
"46.1454635000018, 14.011726300000035","46.02849570000221, 14.153091299999975"
"46.53231779999999, 15.384300100000008","46.52801179999999, 15.702560700000012"
"46.55363879999992, 15.342734499999938","46.53308780000019, 15.630873900000049"
"46.67272760000015, 16.167318900000005","46.69669650000002, 15.840865600000003"
"46.67235060000029, 16.16776460000006","46.693366600000076, 15.86648130000001"
"46.549721000000005, 15.380792300000005","46.52708089999984, 15.685891100000024"
"46.50715320000024, 15.730003299999964","46.5329424999999, 15.462985899999966"
"46.55357610000004, 15.332532199999994","46.53322070000075, 15.647120199999991"
"46.531027999999786, 15.380593799999973","46.53171320000014, 15.677350799999969"
"46.50731109999997, 15.698468600000014","46.56054040000014, 15.340411699999986"
"46.70914629999989, 15.868794000000022","46.63317359999997, 16.138220300000018"
"46.67272760000015, 16.167318900000005","46.688019099999956, 15.916563600000009"
"46.709811300000105, 15.797385800000058","46.63124830000005, 16.117327899999992"
"46.54639339999996, 15.449207000000039","46.49466879999993, 15.760791300000085"
"46.53514429999998, 15.630379999999988","46.563819899999935, 15.334812299999932"
"46.14436619999998, 13.982724799999952","46.04569580000003, 14.168456599999983"
"46.743844000000095, 16.0173948","46.69303550000007, 15.786186799999959"
"46.513277100001304, 15.63382879999999","46.56530190000015, 15.342544899999984"
"46.5005026, 15.76661740000002","46.53943439999985, 15.517783500000027"
"46.6429188999999, 16.111524899999967","46.69767280000021, 15.787520499999937"
"46.69116120000024, 15.885209899999955","46.713859700000235, 16.10950610000005"
"46.506560900000096, 15.73674560000002","46.53505420000001, 15.455576199999987"
"46.62015779999983, 16.072527399999966","46.69562069999995, 15.781984700000022"
"46.70925399999997, 15.8111368","46.612286799999886, 16.074902700000003"
"46.69412270000006, 15.84750470000001","46.63408350000005, 16.11485090000004"
"46.692256299999826, 16.107023199999947","46.703361000000285, 15.870147900000003"
"46.539146500000015, 15.624124199999981","46.55363879999992, 15.342734499999938"
"46.71104169999988, 15.863196600000023","46.63666879999996, 16.113043600000022"
"46.152086600002434, 13.97405179999999","46.04860679999997, 14.124094599999976"
"46.61441939999997, 16.14397159999999","46.697127799999855, 15.906727899999947"
"46.5316739000001, 15.772968799999994","46.43094579999959, 15.43794239999997"
"45.92689809999989, 14.214487899999995","45.62298210000008, 14.527377000000007"
"46.579396500000044, 16.31724569999999","46.82350190000144, 16.002824800000145"
"45.70820340000061, 14.757637299999931","46.01333909999992, 14.379235700000107"
"46.05503459999999, 14.099350399999992","45.72163760000018, 14.384306100000007"
"46.57285059999997, 16.367516099999992","46.711153199999885, 15.87156550000002"
"46.70241270000042, 16.145211800000023","46.384216800000324, 16.27569079999996"
"46.40685450000069, 16.01639670000004","46.5565628000001, 15.455090199999988"
"45.9272773000022, 14.14085960000003","45.65094360000004, 14.532846100000038"
"45.67041069999965, 14.736906100000022","46.03591259999994, 14.513463400000008"
"46.75495569999994, 16.078517999999992","46.41728350000007, 16.17316939999999"
"46.53183319999991, 16.47383670000002","46.83696980000001, 16.28195520000003"
"45.6459666999999, 14.54968010000006","45.72526659999992, 14.01490800000002"
"46.51974010000022, 16.280730799999997","46.81367460000008, 16.050949500000012"
"46.75123369999968, 16.080076500000036","46.55780170000021, 16.4999937"
"45.69144199999993, 14.491781100000022","45.98908580000363, 14.133339400000004"
"45.94297370000119, 14.705763999999979","46.23283929999992, 14.20040280000004"
"45.94107350000069, 14.156982400000008","45.65145360000005, 14.55153730000001"
"46.06523250000001, 13.59042389999987","45.832680700000004, 13.830802800000003"
"45.9820982000001, 14.62083040000001","46.20332469999993, 14.129741199999982"
"46.05330759999999, 14.111043000000018","45.72514820000159, 14.373444299999965"
"45.68565850000142, 14.506122800000018","45.977600900000915, 14.144646799999972"
"46.59176269999998, 16.3192271","46.82865020000175, 16.009659099999986"
"46.82633340000013, 16.001488400000017","46.52715710000002, 16.197818200000007"
"45.94037560000118, 14.708579299999986","46.19621360000001, 14.241006400000018"
"45.76647470000015, 13.88572230000002","46.00983150000011, 13.691841499999962"
"45.91441710000001, 14.585550500000005","46.23063049999997, 14.218608300000007"
"45.71305850000064, 14.757855599999921","46.05419389999988, 14.476967000000055"
"45.897320300000715, 13.957123100000004","45.722672900001484, 14.400036400000003"
"45.68865040000001, 14.503073100000005","45.96310760000006, 14.139280500000002"
"46.5897468, 16.322311400000007","46.822313400001555, 16.023883299999923"
"46.826341200001494, 16.293988999999982","46.55234399999984, 16.495606900000013"
"45.723133800000085, 14.716441300000005","46.06269309999997, 14.404914799999979"
"45.83766469999985, 13.945630900000015","45.661682600000006, 14.53497980000002"
"46.79456509999999, 16.043613099999988","46.55182989999999, 16.361213300000014"
"45.98197410000018, 14.239828700000041","45.65597520000021, 14.499933100000005"
"45.82151679999985, 14.325672900000061","46.10493510000023, 14.0176743"
"46.41292179999999, 16.20236519999998","46.747646499999966, 16.09508940000006"
"45.631966799999994, 13.921096799999997","45.51607720000008, 14.340846200000026"
"46.57559090000023, 16.383075700000017","46.7040322999998, 15.886987300000014"
"45.73091520000063, 14.719060399999915","46.024839999999685, 14.33877629999998"
"45.825135399999745, 14.63230109999993","46.20246259999999, 14.3961265"
"45.68865040000001, 14.503073100000005","45.85949379999979, 13.960460300000046"
"46.81077490000029, 16.316514699999995","46.50002370000001, 16.517564900000014"
"46.54213990000022, 16.2734459","46.81233080000012, 15.999335100000016"
"45.94566580000119, 14.100233000000024","45.688042100000075, 14.47948640000001"
"45.66664709999993, 14.441059900000033","45.98985230000007, 14.179180400000018"
"46.799609500002276, 16.275002400000027","46.54528419999994, 16.494281899999972"
"46.50489200000002, 16.22839319999999","46.812334200002226, 16.043543899999907"
"46.831631900000026, 16.050253700000017","46.46694119999991, 16.050553800000017"
"45.74775370000012, 14.42559860000001","46.05987540000032, 14.146000599999983"
"46.51944890000082, 16.510884300000072","46.81545539999956, 16.28128889999998"
"45.81969509999963, 14.653517699999963","46.180796500000014, 14.30410960000006"
"46.04690589999995, 14.205979400000023","45.71051570000004, 14.472723299999977"
"45.953709500000166, 14.096590600000008","45.688207500000075, 14.47985140000001"
"46.57258159999966, 16.35178570000002","46.811480200002215, 16.03685159999991"
"46.15154259999978, 14.594126199999994","45.724141799999984, 14.397990600000009"
"46.82001100000211, 16.065157200000012","46.5211948000001, 16.264224299999917"
"45.96698799999989, 14.083043799999984","45.69028609999967, 14.469047000000023"
"46.7167894000014, 16.156519700000032","46.38938409999994, 16.273535900000017"
"45.668211300000095, 14.529621600000002","45.72349920000005, 13.999077999999967"
"45.936404200001185, 14.10319090000003","45.68702120000004, 14.498587700000005"
"46.377015500000155, 16.005218599999967","46.55633289999996, 15.485944899999968"
"45.92822950000023, 14.143804300000005","45.65086160000007, 14.469271700000009"
"45.62707220000009, 14.529192900000005","45.950838399999995, 14.273565699999963"
"45.68809070000004, 14.479626300000007","46.041093700000076, 14.213366500000017"
"46.52650120000018, 16.452819999999996","46.82218840000022, 16.279065200000016"
"46.5737128000003, 16.36873009999999","46.69111010000006, 15.872323900000008"
"46.423762299999936, 16.1649859","46.54649520000013, 15.544787500000083"
"46.3927964, 16.258451300000004","46.732422000000135, 16.132743599999973"
"45.97869939999997, 14.162348800000048","45.65267810000002, 14.542845200000016"
"45.687436999999804, 14.751269000000075","46.010390900002236, 14.420866599999957"
"45.99152740000005, 14.127815900000016","45.71102799999989, 14.50146499999999"
"46.029586900001306, 14.22756939999987","45.683144799999994, 14.494581500000002"
"46.50103259999996, 16.25927220000004","46.790763999999854, 16.052632600000017"
"45.91673570000257, 14.185458100000053","45.615986800000236, 14.49728680000002"
"46.47050240000005, 16.2505061999999","46.80287830000002, 16.1701565"
"45.963692099999896, 14.083732199999984","45.70932860000037, 14.47770479999999"
"45.81691000000019, 13.847466799999978","46.06562699999998, 13.586114399999866"
"46.4872987, 15.561561999999977","46.39827440000002, 16.262519"
"46.823509900000055, 16.07231590000002","46.56335139999997, 16.377248000000026"
"45.728563500003254, 14.472353600000083","45.99288899999985, 14.07265070000001"
"45.94961990000004, 14.094445700000007","45.7007982999999, 14.490599199999986"
"46.546915499999955, 15.530963699999974","46.39888160000001, 16.105580700000008"
"45.72809649999996, 13.970023499999968","45.672554800000015, 14.52388060000002"
"46.48855390000001, 16.21060099999995","46.81655709999991, 16.122682599999962"
"46.74393390000003, 16.244267500000053","46.40054760000001, 16.23275849999995"
"45.72873990000017, 14.379349100000006","45.98682210000338, 14.03459239999996"
"45.783424100000246, 13.86250480000005","46.02609070000152, 13.654774599999984"
"45.916308100002595, 14.186222000000052","45.627637200000095, 14.507509299999974"
"46.80594949999962, 16.314978299999964","46.54170510000007, 16.48931990000002"
"46.40433460000036, 16.169120600000028","46.54159269999996, 15.524423500000035"
"46.011684699999975, 14.318597800000035","45.64893770000108, 14.559435400000014"
"45.72958269999984, 14.375458199999924","46.0569968, 14.1300089"
"45.812333, 14.324836100000004","46.125157399999935, 14.019878599999997"
"45.6677457000001, 14.530108100000003","46.123420200000005, 14.491475700000002"
"45.695948399999644, 14.762034200000045","46.07968589999964, 14.414867299999958"
"45.8337616999998, 13.840553200000015","46.0663301000003, 13.586209300000025"
"46.81634630000025, 16.27921639999999","46.53225099999989, 16.490514299999987"
"46.51604299999998, 16.49764600000002","46.82274509999987, 16.282403500000015"
"46.69263730000013, 16.10449540000002","46.718632400000075, 16.016287799999997"
"46.09923870000016, 14.533734600000031","46.181800000000074, 14.625547500000044"
"46.644450800000065, 16.036744699999993","46.70509289999987, 15.858241000000024"
"46.17303230000005, 14.406384699999995","46.27066900000007, 14.34969029999996"
"46.27153920000008, 14.39872879999996","46.15137100000002, 14.315349400000004"
"45.76607289999999, 14.535086399999996","45.65054420000147, 14.54766860000002"
"46.08485910000008, 14.086462900000043","46.133339800002155, 13.997668000000036"
"46.255609000000376, 14.610004700000053","46.13809699999998, 14.599358699999954"
"46.47112890000004, 16.241427599999895","46.5676738000002, 16.13162200000001"
"46.46381810000005, 16.2543178999999","46.57500689999999, 16.131419500000014"
"45.5500528, 13.808405199999985","45.480124600000046, 13.784151100000015"
"46.39781660000001, 14.00146409999999","46.35446260000007, 14.104685199999981"
"46.53856609999989, 15.434707599999937","46.50516409999993, 15.638359799999993"
