origin,destination
"22.328870799999986, 75.48841299999991","22.453801500000022, 75.42042959999985"
"16.446802399999953, 81.9885504999999","16.629379599999982, 81.97043929999994"
"20.53001450000015, 84.94552330000033","20.439628800000136, 85.06456400000057"
"12.799846600000011, 77.70783149999988","12.909374600000037, 77.5730202999996"
"28.800257899999888, 73.40529779999966","28.90025609999988, 73.46056539999964"
"23.49680180000007, 85.05144780000026","23.38782240000004, 85.23446430000054"
"10.296715900000017, 76.6785461","10.304983800000016, 76.77591960000025"
"16.684215300000005, 82.03203949999984","16.535302200000018, 82.05343320000014"
"22.234485999999976, 85.80656759999984","22.391429900000013, 85.80232759999966"
"22.67401190000012, 88.39200019999976","22.496077799999938, 88.31726379999984"
"22.940173699999978, 88.67857179999996","22.94650220000008, 88.41794479999983"
"17.627639700000007, 74.12117910000006","17.56206999999998, 74.23889629999982"
"13.904299400000001, 75.53709579999988","13.869793700000166, 75.64315969999971"
"23.166089000000017, 71.7197801999999","23.286987900000014, 71.78427079999979"
"28.712089099999897, 73.36453119999967","28.835928999999883, 73.41150709999968"
"22.497119299999845, 75.46893950000005","22.585352300000036, 75.33268509999954"
"16.640797000000084, 81.87032369999997","16.53727399999998, 81.99269470000014"
"20.470414799999997, 85.08837390000035","20.530191200000147, 84.91805880000034"
"22.53237319999999, 88.37167369999979","22.70268949999996, 88.39709529999948"
"16.674608199999994, 81.90973399999997","16.819563900000063, 81.81334560000018"
"13.948460000000024, 75.8432599999997","13.869209599999957, 75.65790120000001"
"25.252253800000005, 82.91446989999953","25.400368399999973, 83.04997019999938"
"16.57885489999996, 82.04283869999963","16.460093199999974, 81.8806649000001"
"22.316117499999997, 85.80484359999973","22.13394050000001, 85.84537049999967"
"13.039401699999951, 80.2474904","12.953043799999977, 80.16552680000028"
"31.99068850000013, 76.78230729999991","31.89893769999984, 76.90150750000008"
"18.986691699999923, 76.18043050000004","19.07891569999991, 76.07952920000015"
"26.856228999999992, 80.84621230000003","26.730115200000075, 80.95231120000008"
"14.080987400000076, 75.40916970000002","13.96493220000001, 75.49045890000004"
"12.953137600000039, 77.62074700000008","13.00141980000001, 77.49928200000001"
"28.61666199999988, 73.3417167999997","28.758924799999882, 73.38522079999964"
"16.461876400000012, 82.0202600000002","16.6217225, 82.02124359999988"
"16.53745699999995, 82.0085178999996","16.3914866000001, 81.9156073999999"
"32.03986600000001, 76.71571339999957","31.95527420000002, 76.87143039999968"
"22.570669299999974, 88.4101770000002","22.4656874, 88.3292131000003"
"22.77014999999996, 88.32507060000015","22.907380999999962, 88.37865560000003"
"16.348988899999966, 81.77386010000016","16.440333899999985, 81.90856489999986"
"16.45891719999998, 81.89505640000007","16.405694999999923, 81.73365480000022"
"16.707701500000006, 81.92540869999999","16.580174600000078, 82.01238129999992"
"22.520452799999997, 75.924430599999","22.36867900000019, 75.97668299999928"
"28.756213699999886, 73.37031369999964","28.64653159999996, 73.43175209999977"
"18.974143200000047, 76.03972619999972","19.090928599999913, 76.1093117000001"
"28.757405999999886, 73.37525489999965","28.652276199999957, 73.42422009999974"
