origin,destination
"66.84308499999993, 26.25094210000005","66.73483769999984, 26.650883500000003"
"66.77819499999968, 26.614996200000007","66.8021256000001, 27.093170300000065"
"66.91359540000043, 26.64023220000005","66.79925680000004, 26.907515400000047"
"66.8150007, 26.78716760000001","66.65723650000017, 26.47202789999997"
"66.65676710000022, 26.55998839999994","66.87000920000014, 26.587949400000046"
"66.67170240000003, 26.542360799999997","66.91033470000005, 26.63459879999999"
"66.97124950000001, 26.595328250000005","66.82631180000006, 26.375864500000095"
"66.77962329999997, 26.96011300000004","66.6827172000005, 26.559161200000062"
"66.9340151999997, 26.865279600000026","66.79018549999998, 26.636202200000007"
"66.97810425, 26.631924350000013","66.87509529999993, 26.23019929999994"
"66.79370459999998, 26.668425900000006","66.82768620000009, 27.07692220000008"
"66.7660699000001, 27.060760300000076","66.72370790000005, 26.580575400000033"
"66.82756570000001, 26.767743700000043","66.65204085000006, 26.48829585"
"66.7176701999999, 26.943008499999987","66.6257812, 26.367845000000028"
"66.79330630000008, 26.586073899999995","66.88640250000019, 26.249443900000006"
"66.87193700000044, 26.59229650000005","66.73271790000005, 26.828687900000016"
"63.26930530000007, 29.08988659999996","63.22596350000032, 28.67982900000002"
"66.98240270000001, 26.658360200000025","66.84607550000007, 26.325213600000055"
"66.80902240000017, 26.56793290000004","66.9731381, 26.624736000000023"
"60.36987850000005, 22.130620600000004","60.47216159999975, 22.26447860000015"
"66.7157036000005, 27.02235569999991","66.62693830000002, 26.374057400000027"
"66.8149953000001, 27.049791099999986","66.79008679999997, 26.65948090000001"
"66.74870559999992, 26.81268929999999","66.89037469999965, 26.420046400000018"
"66.80224790000001, 26.712089300000006","66.63305120000012, 26.430055899999957"
"66.7660699000001, 27.060760300000076","66.72120380000003, 26.55103800000003"
"66.73725639999974, 26.54045930000003","66.76281020000006, 27.036244900000057"
"66.79963049999999, 26.902683600000053","66.67955840000008, 26.470397600000002"
"63.42474810000019, 30.183198599999958","63.339542, 30.45554990000011"
"66.84828459999986, 26.284531599999944","66.72645759999983, 26.71489409999999"
"66.69366089999986, 26.503311200000013","66.79736489999998, 26.83189670000002"
"66.62233540000011, 26.352662499999983","66.78983089999997, 26.796888400000025"
"66.91149020000015, 26.975996200000044","66.81010760000055, 26.567893400000045"
"60.16233420000004, 24.900970400000013","60.17233430000016, 25.080293199999975"
"66.72422419999998, 26.49786600000003","66.92202379999993, 26.44659560000004"
"66.88363729999963, 26.248962600000013","66.92906030000044, 26.702291800000054"
"66.72063429999996, 26.95380829999998","66.84405840000045, 26.56734070000005"
"66.87502510000019, 26.23009870000001","66.90623280000044, 26.633164300000047"
"66.68495699999997, 26.703165499999987","66.86033240000003, 26.535884700000015"
"66.7914930999997, 26.643720500000008","66.70258870000002, 27.117792799999986"
"66.69236830000006, 26.505500200000004","66.90957080000022, 26.41895050000001"
"66.63266700000004, 26.42845120000003","66.89175580000042, 26.61843480000005"
"66.73484520000002, 27.116411599999992","66.6871754, 26.59143289999993"
"66.70060939999982, 26.472727600000017","66.72091580000023, 26.970100799999965"
"66.92770360000006, 26.69710159999999","66.69625020000004, 26.48386580000001"
"66.86226950000008, 26.57262279999999","66.72536899999996, 26.97963019999998"
"66.74276449999999, 26.604937799999995","66.93124179999967, 26.319809900000013"
"66.90177700000021, 26.235353700000008","66.79710410000055, 26.580727100000043"
"66.76313029999997, 26.99317880000002","66.70397480000052, 26.604050800000056"
"66.6213086, 26.34857410000003","66.80425020000001, 26.703574100000008"
"66.73248779999973, 26.562484400000027","66.93615910000031, 26.476346699999965"
"66.81032450000008, 26.568400899999993","66.77343740000005, 26.971299900000055"
"66.86226950000008, 26.57262279999999","66.68614269999996, 26.716153299999977"
"66.71146569999976, 26.489326100000024","66.80452099999975, 26.889230100000017"
"66.97845900000002, 26.653081599999986","66.8212356000002, 26.58754000000004"
"66.79132189999997, 26.641910200000005","66.92592509999994, 26.445611600000042"
"66.79293040000002, 26.936669500000054","66.67484620000009, 26.58442359999998"
"66.68472439999995, 26.797100499999967","66.8021256000001, 27.093170300000065"
"66.68345120000009, 26.69019160000005","66.88318490000043, 26.61112570000005"
"66.76258570000006, 27.034490700000056","66.6834927000005, 26.564612400000062"
"66.88412079999992, 26.342306300000047","66.72424389999998, 26.737874699999992"
"66.72127479999996, 26.749306899999993","66.92377309999968, 26.313031700000014"
"66.7363478, 26.655815399999994","66.84591669999966, 26.302173600000017"
"66.8019657, 26.88675080000005","66.66124470000022, 26.560536699999943"
"66.77131199999995, 26.971854400000037","66.70678419999979, 26.47760840000003"
"66.92618260000044, 26.688161400000055","66.70397480000052, 26.604050800000056"
"66.68177980000007, 26.668246000000064","66.72216499999988, 27.135891299999994"
"66.78730009999998, 26.625090000000007","66.94173850000033, 26.481372199999964"
"66.65187339999997, 26.48051389999999","66.89031009999965, 26.42595220000002"
"66.67999540000004, 26.645271899999997","66.88969659999964, 26.44661080000002"
"66.73131199999983, 26.6899055","66.88482299999993, 26.35169890000005"
"66.76200910000006, 27.015967900000057","66.73752389999966, 26.538868900000004"
"66.72931989999984, 26.693485799999998","66.87487319999993, 26.325644300000047"
"66.72114689999974, 26.557201100000015","66.97272849999972, 26.810642400000024"
"66.88969659999964, 26.44661080000002","66.72828999999996, 26.794021999999995"
"60.355503100000135, 22.288664799999903","60.47249830000012, 22.28224970000004"
"60.39357309999993, 22.275299600000007","60.44053389999994, 22.136415600000007"
"66.85187099999966, 26.52040670000001","66.63093720000003, 26.413722200000024"
"66.73861499999985, 26.62449070000001","66.9418893000001, 26.72784979999999"
"66.73785990000003, 27.111363699999995","66.74822094999999, 26.582091399999996"
"66.75749779999985, 26.570559800000016","66.9758407, 26.584781800000023"
"66.79010379999998, 26.631250400000006","66.72891100000004, 27.141784400000034"
"66.96999880000003, 26.605488499999986","66.79452769999992, 26.221355500000175"
"66.72422519999976, 26.512018400000013","66.90430630000012, 26.407727300000005"
"66.93376660000007, 26.865784600000076","66.92377309999968, 26.313031700000014"
"60.358074600000116, 22.13144629999999","60.48045599999996, 22.300879299999874"
"66.65610970000003, 26.510666800000003","66.78142079999996, 26.95841720000004"
"60.38207159999973, 22.15032780000001","60.454557499999986, 22.316426000000014"
"66.82758349999995, 26.768378500000004","66.70074029999998, 26.472737900000027"
"64.36563570000017, 28.999654000000014","64.32948540000025, 28.869717099999942"
"66.73494450000001, 26.643383399999994","66.94234840000009, 26.75087409999999"
"66.77094679999998, 27.081786200000064","66.74172169999984, 26.607308500000013"
"64.37583659999994, 28.984235500000004","64.32685910000018, 28.88202609999994"
"66.76706909999993, 26.796867999999993","66.62395010000012, 26.359451099999983"
"66.92699369999984, 26.694562000000015","66.68190520000009, 26.677100400000064"
"66.7352747, 26.652903099999996","66.95118740000015, 26.83841339999999"
"66.92213389999985, 26.660116600000016","66.6614579000002, 26.58135055000004"
"66.70225930000005, 26.811970799999983","66.89802919999993, 26.389780700000042"
"66.67988999999969, 26.643914899999995","66.90350280000021, 26.40656580000001"
"66.85334249999984, 26.31057459999995","66.73452645, 26.670247399999994"
"66.83741069999965, 26.587491800000013","66.90177700000021, 26.235353700000008"
"66.71363500000001, 27.177320999999964","66.69853387499991, 26.592992500000044"
"66.84860879999965, 26.55343230000001","66.7157036000005, 27.02235569999991"
"66.82627139999965, 26.591447200000015","66.7149286, 27.0468067"
"66.88565189999993, 26.360595300000046","66.94528850000003, 26.764206100000013"
"66.72450520000001, 26.533743200000032","66.94939105000029, 26.815215550000026"
"66.88937860000004, 26.468650800000006","66.71523289999989, 26.91265179999998"
"66.92524050000024, 26.44482420000001","66.72262279999998, 26.49606770000003"
"66.87218880000019, 26.228753300000008","66.9758407, 26.584781800000023"
"66.72115259999974, 26.551701500000014","66.92756480000033, 26.458984899999994"
"66.85405710000022, 26.240873199999992","66.73806779999985, 26.62543430000001"
"66.73494450000001, 26.643383399999994","66.93233200000007, 26.716865499999994"
"66.82541850000007, 27.009703400000063","66.75588730000003, 27.574217100000023"
"67.08076110000017, 26.83943469999992","66.91799129999967, 26.318440600000013"
"60.66572890000012, 23.56409139999996","60.95133450000003, 23.551350999999972"
"66.69478170000014, 27.461258200000078","66.68427219999998, 26.70099079999999"
"60.48505920000036, 22.052039299999905","60.51445560000013, 22.71378859999996"
"66.57574770000026, 26.918294699999905","66.8155926, 26.788505600000008"
"60.125346899999705, 19.82729940000002","60.08981520000043, 20.160955899999813"
"60.304722799999915, 22.389762900000022","60.45928120000015, 22.103497800000042"
"66.55459759999978, 25.823120200000034","66.68213860000051, 26.58947820000006"
"61.99883910000075, 22.459538499999958","61.77627730000014, 22.071924999999954"
"66.71104660000036, 27.534201699999905","66.82751180000008, 27.006714000000063"
"66.78316760000006, 27.09191210000006","66.63905160000016, 27.533137000000004"
"63.22226220000063, 28.98677330000011","63.11207219999988, 29.59921890000001"
"66.46967380000001, 26.09512209999999","66.70678419999979, 26.47760840000003"
"66.6163233000003, 27.01585539999991","66.8022109, 26.712645400000007"
"62.01783910000005, 25.603120299999986","62.108595399999956, 25.03618009999993"
"62.182822399999786, 24.773268699999957","62.01354480000017, 25.415846499999972"
"60.55354750000006, 22.185328600000116","60.392721199999805, 22.539902700000003"
"60.641079700000056, 25.84489550000021","60.892206999999864, 25.693476899999983"
