origin,destination
"24.097583899999936, 46.4220613999999","23.970714950000225, 46.35582514999952"
"23.933641600000204, 46.33325329999951","24.098174400000094, 46.42987419999962"
"24.891254000000064, 46.39524219999994","25.004491599999945, 46.28693569999987"
"20.00174639999995, 41.34770040000016","19.927199800000043, 41.25203669999996"
"24.103625400000098, 46.403597599999614","23.951919300000228, 46.34232989999951"
"24.061263300000096, 46.373551499999614","23.89424430000022, 46.3090323999995"
"19.410642999999972, 41.82921959999998","19.31034490000002, 41.872764700000026"
"27.968989900000004, 45.496920099999954","27.849165199999934, 45.45421059999942"
"27.852597899999846, 45.43780910000001","27.9823618, 45.50886939999997"
"27.842072799999965, 45.48971500000011","27.993937199999934, 45.63565670000011"
"25.716582299999967, 41.06480410000005","25.607168299999948, 40.97603110000007"
"28.30269690000014, 45.942356600000004","28.354235200000044, 46.06740629999992"
"23.965014699999983, 46.36294639999996","24.07670460000009, 46.440012899999616"
"26.23046189999997, 44.8172128","26.308981999999993, 44.71830899999996"
"20.59978950000001, 41.082832100000005","20.483296899999893, 41.14830300000052"
"18.269411699999992, 42.82349210000002","18.336354699999998, 42.75095749999986"
"27.94704700000008, 45.45981040000027","28.000773499999937, 45.63564070000011"
"25.006756899999946, 46.290157099999874","25.022853199999968, 46.427790299999806"
"27.98450759999992, 45.63469289999954","27.83834759999994, 45.452628299999446"
"19.19447309999996, 41.73279000000014","19.117512199999936, 41.78182360000014"
"28.013057799999917, 45.566908999999534","27.956948599999922, 45.44151569999954"
"19.951693000000013, 41.234704299999954","20.015739199999995, 41.315427899999946"
"27.919675899999977, 45.46442919999998","27.99546239999992, 45.57300299999954"
"21.26529889999999, 42.89972379999993","21.188163099999972, 42.78893710000012"
"19.987720999999926, 41.337963900000155","19.964171600000018, 41.24530429999995"
"18.3297836, 42.835441699999805","18.24731850000001, 42.85626769999978"
"24.084040400000024, 47.334034599999846","24.215329600000118, 47.18684890000007"
"24.888557100000007, 46.5001895000001","25.00109079999994, 46.29085769999983"
"21.18965869999997, 42.79488090000012","21.266381100000103, 42.90854609999985"
"18.275309300000004, 42.855990399999776","18.27816200000002, 42.76988520000013"
"20.514299600000037, 41.13569220000009","20.6037101, 41.07924440000001"
"18.246653599999995, 42.8485207999998","18.31378579999992, 42.80204179999991"
"27.888189399999835, 45.456962300000015","27.99288559999992, 45.59783489999954"
"28.042060299999935, 45.512704300000124","27.837603199999936, 45.44608619999945"
"21.19961700000012, 42.84215899999973","21.281704000000005, 42.964446699999925"
"27.847533499999937, 45.458673799999424","27.984711799999964, 45.54381129999986"
"22.993216900000025, 39.7511498999999","23.028387499999994, 39.88047709999995"
"27.952825999999924, 45.44667289999954","27.82007369999995, 45.42039640000002"
"27.870388499999965, 45.51573780000011","28.001624400000104, 45.53380899999999"
"27.99214189999998, 45.54570459999986","27.864363399999963, 45.56394250000012"
"20.507858600000034, 41.13725900000008","20.593649600000013, 41.09077200000002"
"24.970141800000064, 46.41395370000016","24.962808199999913, 46.26281167499984"
"27.994362300000102, 45.52176819999998","27.859625599999962, 45.53861170000011"
"27.948149000000015, 45.52591749999999","27.847132799999837, 45.434871000000015"
"19.19447309999996, 41.73279000000014","19.090773399999883, 41.78783660000012"
"26.211277400000025, 43.06108680000013","26.37626130000003, 43.10696195000013"
"26.266892900000016, 44.720041699999946","26.244043899999166, 44.8578552000008"
"18.190878700000003, 42.81178900000014","18.314185400000007, 42.844046199999774"
"26.171952850000032, 44.01349494999994","25.99293309999995, 44.0525508000001"
"21.277275800000005, 42.96310049999993","21.209574600000014, 42.834007399999955"
"24.926220000000022, 46.41428530000016","25.019789799999945, 46.30418679999987"
"26.103836500000046, 43.96466670000024","25.970840599999942, 44.06137950000008"
"18.2996589, 42.84636119999978","18.21596229999997, 42.76041489999982"
"23.90358249999996, 46.33477419999988","24.096264600000097, 46.42423079999961"
"21.225671699999968, 42.81290530000013","21.253497099999997, 42.93374560000036"
