origin,destination
"52.544562800000094, 16.935370399999933","52.36575929999999, 16.908152300000033"
"50.059194400000216, 19.899376299999965","50.30715109999992, 19.662616200000016"
"49.85134200000008, 20.609943299999937","49.884207200000134, 21.08856570000006"
"53.492682500000484, 14.617620599999947","53.34792020000001, 14.59190139999998"
"50.56131619999998, 21.66959710000006","50.804977399999906, 21.843739000000127"
"50.59729420000017, 16.843443600000096","50.572515200000986, 16.475788999999935"
"49.66767379999993, 20.440474000000073","49.90651350000024, 20.447370299999992"
"49.609255999999796, 21.480754300000005","49.820749000000006, 21.514210000000023"
"50.102917000000694, 19.900822099999992","50.30997139999997, 19.68605870000012"
"49.84982649999998, 20.649064300000024","49.86939939999983, 21.060769799999974"
"49.92936299999998, 19.525281500000013","49.83828540000033, 19.18789300000003"
"50.47000970000022, 19.749856200000014","50.51021480000027, 19.35441790000006"
"50.11340210000002, 20.02295150000004","50.259060000000225, 19.629794300000004"
"49.86684999999976, 21.731509099999958","50.07044740000009, 21.512454300000016"
"50.14120130000007, 19.973812000000052","50.28711490000023, 19.55445580000006"
"50.042293699999966, 19.922282600000017","50.246363900000105, 19.666442200000038"
"50.718307400000036, 23.39992279999996","50.677882400000016, 22.977293800000083"
"50.70697619999984, 23.07308230000012","50.6902472, 23.46331370000001"
"53.46361400000009, 22.62298170000007","53.264163900000504, 22.61467520000011"
"53.237579700000104, 22.546310200000033","53.43178679999993, 22.592746899999995"
"54.63097150000005, 18.493023400000034","54.44122540000023, 18.575232400000075"
"53.38110779999989, 14.518839699999946","53.49275590000048, 14.617808299999947"
"51.1319302, 20.962719300000003","51.133080299999804, 21.370532899999894"
"49.80245720000018, 18.6211517","50.00388000000011, 18.46762740000004"
"54.52359790000011, 18.557433000000017","54.619983900000264, 18.36048659999996"
"50.719474899999895, 23.025779799999988","50.73527389999997, 23.378024099999962"
"50.70527159999993, 23.331632000000038","50.56453969999988, 23.117674800000014"
"49.87852359999997, 18.63980659999997","50.05663470000015, 18.419457199999975"
"50.758179400000216, 16.41024650000002","50.573555700000355, 16.605348099999958"
"50.56132929999997, 23.50747000000003","50.71570820000005, 23.29301240000002"
"50.68902400000003, 23.1155281","50.730948299999994, 23.46742679999992"
"49.78479730000061, 18.64389300000001","49.97961980000031, 18.43904149999992"
"50.627216300000235, 21.207275500000062","50.379283100000364, 21.226862799999903"
"50.013128500000015, 18.454884600000042","49.802973599999945, 18.633275099999942"
"50.59414340000001, 22.062212800000005","50.664211400000134, 21.64699569999997"
"49.98846480000018, 19.00573200000006","49.86745849999989, 18.69115120000003"
"49.809036099999936, 21.615917099999933","50.05639370000027, 21.602250199999993"
"49.82291600000042, 19.236478200000033","49.859949999999664, 19.587362699999993"
"51.07813980000011, 19.1742512","51.012429000000026, 19.558056000000004"
"51.04655880000006, 15.572887999999962","51.22256450000008, 15.434318200000028"
"50.73794820000019, 22.99993700000006","50.71449130000036, 23.41152900000001"
"49.8200322, 18.621938200000002","50.00564950000008, 18.441214000000034"
"50.121947999999996, 18.505258499999965","50.066771699999975, 18.14472419999999"
"49.994907700000056, 18.494559600000013","49.792981700000276, 18.672808699999848"
"50.119193300000035, 18.266508299999998","50.12133780000003, 18.613888199999977"
"49.838513499999934, 21.01572449999999","49.87076670000012, 20.584977899999963"
"50.74428709999993, 22.990068599999955","50.66398770000002, 23.37203829999991"
"53.518206100000164, 14.607400699999948","53.372224200000005, 14.606734199999968"
"52.53465460000018, 16.975454100000018","52.39244329999995, 16.868003899999998"
"50.31329190000012, 19.63537259999994","50.16084689999998, 19.94896730000002"
"51.04494900000023, 15.59310499999998","51.22128730000029, 15.44720020000001"
"50.05333090000008, 21.628075700000018","49.83565199999984, 21.633753799999962"
"53.381749500000026, 15.860912099999943","53.42196520000007, 15.610665499999978"
"50.7340514000003, 22.948419700000066","50.768346100000265, 23.304870299999966"
"50.12275209999988, 18.216381099999932","49.979018400000015, 18.464758700000026"
"51.08075280000006, 21.73947549999997","50.96172650000004, 21.37029000000001"
"50.71098379999996, 23.171283399999993","50.71974220000034, 23.535892600000057"
"50.23539109999988, 22.923967300000026","50.29434379999985, 22.604640600000018"
"52.26037500000012, 20.470929199999972","52.230315500000465, 20.843826300000128"
"50.55739809999999, 16.608979199999997","50.71417349999989, 16.447335599999963"
"53.27575430000051, 22.61681430000011","53.467899600000095, 22.64708940000007"
"50.10043589999997, 19.942912899999985","50.27011740000004, 19.591295899999974"
"49.99263570000031, 22.202589200000038","50.21211719999998, 22.38033599999999"
"53.44494940000086, 15.649699000000005","53.412837900000056, 15.956546400000006"
"50.5968911, 23.165241000000016","50.73437090000034, 23.48443730000007"
"50.69834880000007, 22.991872","50.73124690000001, 23.469706099999925"
"54.5410956, 18.4538218","54.64992840000001, 18.24574970000009"
"49.83683230000003, 18.61026299999978","50.036726700000095, 18.482957199999976"
"50.93592260000063, 21.36586819999998","51.06296440000008, 21.750836199999895"
"49.88112030000066, 19.194003399999993","49.870298100000035, 19.558260600000022"
"50.255553500000104, 19.64474889999997","50.06581060000021, 19.964450900000013"
"52.25414720000276, 20.872970800000022","52.27223479999999, 20.448199849999998"
"50.56899820000005, 16.624843299999995","50.713406200000016, 16.434089599999968"
"51.13657280000023, 20.936059999999976","51.132045899999824, 21.341747299999895"
"49.96347100000002, 19.003218100000055","49.86649430000002, 18.675919299999986"
"50.728894299999986, 23.33528430000001","50.701014499999935, 22.96704160000003"
"50.014982600000096, 19.958297099999893","50.24417360000032, 20.118575200000038"
"50.67784239999968, 22.944302999999962","50.7629841, 23.248634699999965"
"49.786190199999965, 19.025179600000044","49.85749149999999, 19.3742400000001"
"50.718180499999974, 23.06891330000004","50.74599020000001, 23.54591519999999"
"49.8504016000004, 19.267501699999997","49.835822699999675, 19.63140939999999"
"52.113253000000014, 22.09957040000003","52.207149299999976, 22.404053399999984"
"53.46747629999996, 15.841161599999994","53.365491700000305, 15.714546699999955"
"49.808289700000024, 21.223598099999982","49.61914749999991, 21.476454299999943"
"50.64210799999982, 23.192368400000014","50.56768230000002, 23.532546500000038"
"54.546701900000066, 18.355826000000025","54.59380550000018, 18.13787739999992"
