origin,destination
"51.636328200000015, 7.376993300000016","51.65753900000016, 7.195977100000021"
"50.903319899999985, 13.443698499999998","50.76792270000001, 13.528020299999982"
"53.10829689999993, 8.647523299999996","53.066772499999644, 8.507334000000007"
"49.15448490000001, 7.230270600000025","49.13485940000003, 7.060943600000024"
"53.07289420000001, 8.095519000000003","53.13867439999988, 8.244755199999993"
"51.15206500000007, 13.449413300000035","51.14215610000004, 13.589837800000002"
"52.52356670000007, 13.352905799999993","52.48673640000011, 13.201877800000036"
"53.674573099999975, 8.485979799999962","53.75321460000002, 8.656634499999987"
"50.755538199999854, 6.322023700000004","50.767100800000065, 6.499068099999949"
"51.348177500000006, 12.40614470000001","51.258822300000006, 12.501483099999989"
"48.69611240000002, 11.309389300000026","48.63831699999996, 11.169716199999991"
"49.58720050000047, 11.060842000000042","49.63345830000009, 10.931063900000048"
"50.509478099999995, 12.991928499999998","50.642665300000026, 12.978020999999991"
"51.45985230000031, 6.940109000000079","51.37052899999996, 7.009191799999987"
"49.704423300000194, 11.885493300000018","49.73754390000016, 11.765649000000034"
"51.38874779999993, 14.817918400000021","51.53588109999977, 14.667351000000046"
"52.8089304999997, 13.958479000000011","52.834641700000056, 13.739897200000017"
"47.47531540000028, 10.151502599999974","47.51209930000001, 10.227667999999973"
"49.29013309999982, 7.097316400000059","49.333842499999975, 7.029479300000012"
"54.09765460000013, 13.87375560000008","54.04773450000009, 14.007671999999955"
"51.14595039999979, 13.553845099999961","51.08316350000003, 13.407865299999997"
"52.03756069999998, 8.5472887","52.14966770000007, 8.483361299999984"
"52.55064460000016, 13.284025199999995","52.603383100000066, 13.145220799999995"
"50.64981860000081, 12.51873139999997","50.539332899999984, 12.569727100000017"
"51.50217800000004, 7.120148199999974","51.45952620000006, 6.975611400000016"
"50.98943830000014, 7.036007200000002","51.0772988, 7.072370600000008"
"50.30684689999993, 12.262038700000012","50.39358419999988, 12.507900699999983"
"51.04012849999991, 14.394301499999987","51.00072719999995, 14.635932500000022"
"51.347951200000054, 6.973241200000014","51.39364810000009, 6.867335499999995"
"51.696889700000284, 14.376097699999978","51.80920020000022, 14.322455499999975"
"50.71780949999969, 10.622337400000042","50.80985009999995, 10.501484099999983"
"53.691513200000266, 10.123501300000006","53.67527599999998, 9.930116499999997"
"50.684323700000306, 12.66876360000003","50.79309540000019, 12.682733600000008"
"54.15371499999994, 11.9035991","54.07516050000009, 12.066267199999974"
"54.09789609999999, 12.069409200000013","54.157832800000136, 11.942769499999992"
"53.14596790000066, 8.91547479999998","53.05997340000067, 8.797281200000011"
"51.61071079999998, 7.410525999999977","51.63135670000081, 7.5553136999999895"
"52.59526510000027, 10.12108070000002","52.62631810000039, 9.947956299999957"
"48.04897489999982, 7.867854600000026","47.957469200000126, 7.898125700000013"
"50.97748949999999, 13.70550820000001","50.98587560000007, 13.566467500000062"
"51.09650559999994, 14.546937599999955","51.15446659999998, 14.3448635"
"49.469402800000225, 11.085185400000011","49.42949199999993, 10.977407500000044"
"48.82349190000017, 9.219879899999968","48.70919330000008, 9.246345499999993"
"51.106518200001545, 14.943454299999932","51.1747811, 14.991427199999984"
"52.48684899999976, 13.567401899999929","52.457619600000804, 13.705440400000048"
"50.7920591999998, 12.752535799999968","50.70856010000034, 12.706508599999944"
"49.766453800000214, 9.87506129999998","49.781702799999984, 10.011838100000007"
"49.71972270000012, 11.907428799999979","49.66742400000023, 11.766239100000025"
"52.86687670000018, 7.3826789999999844","52.75251109999995, 7.305463499999995"
"53.44189919999992, 7.329534400000005","53.4174738999998, 7.513190100000006"
