origin,destination
"35.738329499999566, 139.3947414000002","35.85610349999972, 139.20505450000036"
"35.87078429999985, 139.2629075999996","35.70023219999987, 139.39993670000007"
"32.66508100000003, 129.84889699999957","32.80733940000003, 129.7776597000005"
"42.902499999997524, 141.2690929999992","42.80966710000005, 141.30466670000072"
"33.05657229999989, 130.0177658999989","33.24858250000014, 129.91321740000026"
"39.7819350000002, 141.3261330000003","39.71456260000007, 141.09436909999997"
"35.85417049999963, 140.15440679999998","35.929249299999995, 139.89922689999983"
"35.469012999998746, 134.58206500000023","35.6176157999997, 134.3984552000003"
"35.53595829999964, 139.08548110000072","35.551838400000435, 139.38931540000058"
"35.843192299998954, 139.45658550000007","35.87260719999986, 139.23933959999962"
"42.862697800000376, 140.7240033999995","42.72712299999986, 140.90205299999985"
"35.856502200000264, 139.42312229999993","35.8635824, 139.1831727999993"
"43.68954299999873, 142.74235200000027","43.77740099999927, 142.67306999999988"
"43.3336356999993, 141.84412720000068","43.36154399999959, 141.63912099999956"
"43.74363170000004, 142.45261529999962","43.81542499999942, 142.30218799999895"
"33.7833999999991, 134.56526299999962","33.97969819999999, 134.6026423999999"
"31.743733000000006, 130.4116229999997","31.609199500000717, 130.5514565000002"
"35.22400879999968, 140.3897823000007","35.421819900000045, 140.37657819999973"
"36.28749659999963, 139.30199600000236","36.47844490000004, 139.25695009999927"
"33.27466909999976, 129.84573170000093","33.122459100000235, 130.00841450000044"
"42.701712000000015, 142.61685300000002","42.61725499999882, 142.53895100000034"
"36.69723710000012, 138.91848340000058","36.87186069999996, 138.77080410000022"
"35.906217399999996, 139.94257329999988","35.86229859999955, 140.18001749999948"
"33.5086959999986, 134.23406600000098","33.3207289999998, 134.18671699999996"
"31.625732300000166, 130.59412079999973","31.705247000000476, 130.43390200000036"
"26.762972999999967, 128.27790399999955","26.658975999999946, 128.22727599999962"
"31.59475500000011, 130.34197900000018","31.722815000000338, 130.49999699999972"
"37.52575759999995, 139.80382490000005","37.34181399999984, 139.77444400000022"
"42.81799800000011, 141.2819259999994","43.02109550000044, 141.3545916999998"
"33.34452999999983, 134.1981797000009","33.58233850000001, 134.32300349999946"
"37.34721789999998, 139.81031849999997","37.54432400000002, 139.79460000000174"
"35.77718680000007, 139.4692904000003","35.62678119999992, 139.5744018000005"
"33.661633999999886, 134.4262200000006","33.51178919999859, 134.2504904000011"
"35.83521870000128, 139.35005230000024","35.8098657, 139.0991807"
"33.56620399999959, 134.28840700000015","33.72265090000003, 134.50460939999988"
"40.312066699999946, 140.2858224999997","40.470736000000024, 140.28925300000054"
"34.87196999999987, 139.1075699999997","34.721142699999646, 138.96160800000052"
"31.39604270000019, 130.3912241000004","31.257041000000132, 130.23262100000002"
"35.616945099999974, 134.47746950000052","35.441790999999604, 134.58955999999984"
