origin,destination
"51.17497879999986, 5.077443799999981","51.139046900000075, 5.379533299999997"
"50.41588149999988, 4.148045500000008","50.43557590000021, 3.906010300000022"
"50.87861040000009, 4.0124059999999755","50.78470419999985, 3.740972199999969"
"51.137554999999864, 2.7224006000000314","51.221332000000004, 2.8897750000000104"
"51.23302220000007, 2.977221299999999","51.18141549999998, 2.8138982999999946"
"50.91278119999985, 3.360713499999984","51.01567460000004, 3.5745469000000023"
"50.64367300000002, 6.141145400000009","50.64753939999998, 5.953714100000017"
"50.80844479999994, 3.8121371999999885","50.85261930000009, 4.116215800000006"
"50.86174220000021, 3.3239797999999885","50.98818240000019, 3.4798899999999904"
"51.12328450000003, 3.0480344999999973","51.232061300000005, 2.955870000000002"
"50.89322679999995, 3.8496829000000203","50.82685470000014, 3.5840470000000093"
"50.80991350000004, 3.602319900000019","50.90090689999995, 3.8971536000000047"
"49.55708760000006, 5.843640900000005","49.555092600000165, 5.647635800000024"
"50.83152899999999, 4.080607599999976","50.81393690000007, 3.7647852000000097"
"50.40781360000034, 4.320542200000019","50.433993900000054, 4.0828670999999925"
"51.15428250000066, 5.684778899999999","51.00156979999989, 5.581708000000002"
"51.21570429999988, 3.2365981999999995","51.19127350000007, 3.483287400000037"
"51.120150200000154, 3.0362201999999883","51.24184060000003, 2.9422974999999876"
"50.8446351000001, 4.220943299999975","50.69268930000013, 4.041085699999992"
"51.17152079999979, 5.558109800000023","51.0818471000004, 5.730688000000012"
"51.11419449999986, 5.685257700000009","50.96949449999998, 5.684142000000006"
"51.20295410000001, 3.375816699999982","51.12471109999995, 3.611456399999989"
"51.06994750000024, 5.256127499999941","51.23520129999994, 5.350278599999993"
"50.75759479999999, 3.450796900000002","50.90518919999977, 3.3960367000000278"
"50.88450180000042, 5.283031500000021","50.76180910000002, 5.475604500000013"
"50.525732700000056, 3.3391998999999717","50.65497900000011, 3.402511399999989"
"51.151604499999884, 5.4756646000000195","51.159104200000066, 5.157377499999998"
"51.14898189999985, 5.614888699999986","51.000421300000085, 5.570008100000012"
"50.7078908, 6.121680099999996","50.610134500000136, 6.065528500000011"
"50.52359129999991, 5.262299500000013","50.491404700000054, 5.0285429000000175"
"51.146032099999836, 2.7105963000000304","51.21728389999981, 2.8962499999999936"
"50.70908830000007, 5.713513700000017","50.5713844000003, 5.716270599999998"
"51.1462604999997, 5.661155300000016","50.99620349999997, 5.571034800000011"
"51.00519470000043, 5.746905200000008","51.13885529999971, 5.671557200000003"
"50.91526450000014, 3.9325921000000132","50.84439150000022, 3.6273851999999898"
"51.22474749999985, 2.9200357999999813","51.12885569999993, 2.7557744000000017"
"50.6512649, 5.964469000000002","50.64626120000015, 6.149266900000003"
"50.79269120000009, 5.406933800000038","50.95447219999994, 5.3690951"
"50.83980910000009, 4.1367901999999965","50.87180289999995, 3.8257502000000048"
"51.1441956, 5.4745107","51.18834590000014, 5.183765099999998"
"50.790272499999986, 3.917629000000005","50.844918500000084, 4.233603499999976"
"51.432303099999885, 4.770787000000008","51.26220600000096, 4.695672399999981"
"51.36463290000003, 4.840327300000032","51.212812999999805, 4.667976599999976"
"50.98983759999997, 5.732340199999995","51.12313160000034, 5.765935400000001"
"51.131531899999835, 5.391229300000003","51.12366840000015, 5.098142800000001"
"50.91483150000022, 3.9197173000000216","50.86643160000009, 3.6042110999999726"
"50.67020769999969, 5.804194000000012","50.60239410000035, 5.63787220000001"
"50.43271070000015, 4.011157100000009","50.41005210000017, 4.2533231000000065"
"50.779009500000505, 3.4392428999999827","50.87921899999988, 3.6739728999999754"
"51.07106670000003, 5.153436700000007","51.138207899999955, 5.414950400000013"
"50.426798700000106, 4.204517400000004","50.420794000000626, 3.951676800000006"
"50.35721000000023, 4.179962200000018","50.47151610000001, 4.0004504999999995"
"50.882344200000986, 5.316824400000008","50.754397000000004, 5.486209099999999"
"51.152880300000106, 5.3931726000000015","51.06390760000013, 5.129599999999997"
"50.96173380000001, 3.5126749000000026","50.92045240000006, 3.2552152000000087"
"50.42289479999979, 5.983909099999985","50.41186850000019, 6.1555851"
"51.07105279999998, 5.164837100000016","51.13008270000015, 5.450147599999996"
"50.60059529999998, 5.960272099999966","50.66875250000029, 6.140880600000013"
"51.231615600000026, 2.96683900000002","51.176303700000226, 2.787273200000007"
"51.18066650000002, 5.475481400000001","51.15026499999991, 5.205278600000006"
"50.379205300001566, 4.021103000000048","50.45246579999988, 4.264869100000011"
"50.85885049999973, 3.673194600000028","50.95882030000024, 3.945338000000022"
"51.22148189999993, 5.326184900000004","51.076449800000184, 5.189217600000008"
"51.20621470000004, 3.282891899999997","51.18397929999999, 3.5644533000000007"
"50.403714499999786, 4.254361899999993","50.43525989999996, 4.009542199999998"
"51.15007160000007, 5.814093200000007","51.01282339999979, 5.711087800000002"
"50.829925200000005, 4.057942600000011","50.77705540000004, 3.75361989999997"
"50.43243229999997, 4.2416203000000055","50.443020799999935, 3.9991216999999972"
"51.22213279999984, 5.302936499999998","51.060823999999755, 5.292401600000003"
"50.2929447000001, 4.177793999999992","50.44582790000042, 4.241572200000039"
"50.886160200000106, 3.8608262999999954","50.81459649999993, 3.578925700000005"
"51.185636300000105, 3.33248610000001","51.1726673, 3.6128519999999953"
"51.395524999999914, 4.759062300000023","51.2135018, 4.656586400000007"
"49.56329360000038, 5.842640900000012","49.539032399999975, 5.625744400000002"
"50.720689399999785, 5.958913099999992","50.6135425, 6.017430800000004"
"50.41670370000002, 4.217017600000023","50.44974680000035, 3.9645582000000164"
"51.159439700000256, 5.6991391","51.0231048000002, 5.584426899999999"
"51.10477979999989, 5.367908899999999","51.14839519999995, 5.0479627"
"51.07828609999992, 5.106493399999995","51.24935780000081, 5.118025999999982"
"50.352477299999904, 4.180020999999995","50.48664950000028, 4.001988500000011"
"51.23410349999993, 5.115297300000001","51.0645693000004, 5.094473399999987"
"50.975669600000046, 5.707758000000005","51.1240515000004, 5.7774084000000165"
