origin,destination
"46.469823700000276, 6.428720799999968","46.50765759999999, 6.537666799999963"
"47.28401930000015, 9.545626899999982","47.12151730000004, 9.536663500000016"
"47.239822099999934, 9.502228500000019","47.177069200000126, 9.236615500000044"
"45.97670739999996, 8.86884","46.14809350000014, 8.931269900000032"
"47.492537499999926, 8.101776300000008","47.48058000000012, 7.761028599999988"
"47.40353299999989, 8.042163300000016","47.35143329999994, 7.920208899999954"
"47.37765690000051, 9.229062000000027","47.508797899999905, 9.412797600000005"
"46.46275770000011, 6.362486699999989","46.564933600000174, 6.683005100000012"
"47.31923249999995, 8.60517850000001","47.40345110000002, 8.5417691"
"47.434524300000355, 7.921434700000003","47.539807099999905, 7.615291399999972"
"47.680848599999855, 8.680101599999926","47.575799099999855, 8.969829900000004"
"47.57692290000003, 8.931166600000008","47.67476659999998, 8.690594099999986"
"46.702640700000096, 7.735574099999979","46.770245600000024, 7.618486299999998"
"47.42117480000002, 8.609756699999995","47.32033560000005, 8.578453399999985"
"47.473162899999984, 9.059419700000072","47.584784300000116, 9.27319950000011"
"47.40283710000002, 8.069234299999989","47.36267640000002, 7.893346999999985"
"46.14490119999968, 8.706441500000002","46.16354710000006, 8.804441400000002"
"47.09436510000089, 9.247222499999978","47.199061299999876, 8.99044789999999"
"47.26380150000046, 8.211402100000035","47.2967311999999, 8.024420200000044"
"47.121353899999924, 7.306626099999944","47.087774299999865, 7.144029199999952"
"47.13605519999988, 8.193422500000006","46.963538799999924, 8.510168400000001"
"47.48726320000025, 9.452292999999967","47.58547030000052, 9.25240969999996"
"47.52084809999996, 8.24617730000001","47.47138119999977, 8.343005999999995"
"46.314333400000244, 6.190112700000004","46.397217199999986, 6.256479100000005"
"47.540975599999996, 8.912469599999929","47.41390270000003, 9.124872599999977"
"46.96618059999993, 9.03346539999995","47.02595199999988, 8.917741500000021"
"47.39571710000011, 8.015521499999977","47.36122270000003, 7.865758299999996"
"46.59558580000007, 6.7100698000000145","46.478756600000196, 6.442564299999978"
"46.152895999999934, 8.734791499999988","46.18649590000014, 8.826708699999983"
"47.5232939999999, 7.9828078999999965","47.5207552, 7.614481500000001"
"46.32078229999997, 6.163344800000044","46.196048699999984, 6.057393100000012"
"47.34310629999996, 9.212597300000011","47.45297299999996, 9.449903599999985"
"47.38661469999978, 8.473682200000004","47.32912699999989, 8.57889279999996"
"46.05708980000019, 8.925913100000017","45.985729500000154, 8.84387250000005"
"47.08959839999996, 9.06276770000002","47.02655649999996, 8.951943400000022"
"47.03618889999999, 8.995608599999978","47.111589200000374, 9.267177899999968"
"47.289571500000015, 7.80869219999999","47.37929910000038, 7.921300800000047"
"47.040619100000065, 7.15579419999999","46.928593899999846, 6.7958203000000115"
"47.46400929999997, 9.369205999999986","47.61668860000004, 9.189050799999954"
"47.35107310000017, 7.877373300000023","47.37812349999959, 8.014254300000044"
"46.20819349999993, 8.842107199999985","46.161696800000065, 8.760050000000003"
"46.505536899999896, 6.653138700000011","46.50789009999982, 6.557040900000049"
"46.264587299999995, 6.204380699999961","46.20470480000015, 6.110419000000003"
"47.093099100000245, 7.155910100000016","47.11222760000016, 7.3201037999999565"
"46.66274459999991, 6.43114119999998","46.579282900000216, 6.205112100000001"
"46.830603999999916, 7.206289600000015","47.02939759999982, 7.492427099999999"
"46.79798810000013, 7.605145000000006","46.722503599999975, 7.709873699999944"
"46.2424399000001, 9.108748700000016","46.161440800000136, 8.773711599999986"
"47.04603220000002, 7.145858499999983","46.89262309999987, 6.778071200000002"
"46.467860100000145, 6.415452399999978","46.51325789999999, 6.526853000000033"
"46.19595790000007, 6.136989199999998","46.28568680000029, 6.228746100000001"
"47.491365800000345, 8.289505300000078","47.46353369999999, 8.15514789999999"
"46.195810200000096, 6.123884200000042","46.245658099999936, 6.191715200000001"
"46.15007540000002, 8.891215800000014","46.32141710000049, 8.981681000000002"
"47.28666680000033, 8.607123099999932","47.384739700000026, 8.554641399999996"
"46.19567430000022, 6.189687599999977","46.20452809999987, 6.0969831000000045"
"46.27489460000013, 6.219825299999983","46.19583829999996, 6.16329939999998"
"47.36794849999984, 8.486621999999972","47.52809309999998, 8.697394800000005"
"46.230789700000415, 9.111868799999947","46.15253349999992, 8.773385900000019"
"46.18603010000001, 8.722114199999995","46.21060739999996, 8.844263300000014"
"47.58132409999966, 8.699199700000012","47.76018799999979, 8.585848799999987"
"47.52694950000006, 8.98488789999998","47.522586100000005, 9.250585599999976"
"47.51791250000005, 9.437035800000029","47.56840410000003, 9.199741799999995"
"46.8922801, 8.678994800000046","46.80045959999998, 8.658184600000002"
"46.207374100000244, 8.83497149999997","46.126203999999966, 8.706279800000003"
"47.176173000000155, 9.234225900000013","47.21330270000035, 9.501328599999992"
"46.15717570000003, 8.944444900000022","46.167710299999875, 8.654704700000021"
"47.546695000000256, 7.805703400000013","47.406832100000045, 7.488759100000007"
"47.34226170000012, 7.905353399999975","47.39497540000007, 8.042336399999991"
"47.41339810000062, 8.05685500000005","47.35207450000006, 7.90573659999999"
"47.37026750000013, 8.783130400000003","47.55301029999999, 8.656592399999992"
"46.46059310000001, 6.83618420000001","46.30172620000011, 6.982964800000047"
"46.169759300000145, 8.786754100000024","46.22764270000031, 9.067271800000047"
"46.19670630000009, 8.814765999999995","46.13329650000007, 8.691221300000002"
"47.31402030000013, 8.579723400000006","47.4122506, 8.555872500000032"
"46.18633119999963, 8.734876299999977","46.185967700000376, 8.854095599999951"
"47.49998830000001, 8.668087299999954","47.44366870000007, 8.814593099999993"
"47.11559429999978, 9.064765900000008","47.02279489999997, 8.91172340000004"
"46.43371009999987, 6.244263300000023","46.525332800000115, 6.496599000000006"
"47.55439429999997, 7.858322200000019","47.44451220000008, 7.585702899999975"
"46.15956410000024, 6.175517700000009","46.222664699999996, 6.1897651"
"45.96607900000005, 8.882654300000032","46.001193899999876, 8.97548200000009"
"46.85235450000213, 6.7262086000000245","47.02063710000024, 7.092206399999975"
"46.14990279999995, 8.8786027","45.98457360000013, 8.882931800000014"
"46.28606219999975, 7.537430899999997","46.21315280000002, 7.194568800000011"
"46.287470199999866, 6.163457699999975","46.220083600000336, 6.178940800000017"
"47.29005109999996, 7.782116000000008","47.34254729999998, 7.919436800000013"
"47.14381499999991, 8.192737699999995","46.97110540000002, 8.45641769999999"
"46.27840090000021, 6.22238149999999","46.17740119999986, 6.136816400000032"
