origin,destination
"59.29798299999997, 5.225218999999992","59.23293100000016, 5.1771670000000105"
"59.30109299999985, 11.097184800000004","59.25941150000005, 11.182095699999985"
"59.30541530000064, 10.425692100000084","59.19642780000014, 10.408352299999974"
"59.30639660000012, 10.996490500000027","59.29438999999971, 11.23487500000004"
"59.360002000000534, 10.841150099999968","59.20708850000009, 11.00619900000001"
"59.37011000000014, 11.177968399999989","59.25941150000005, 11.182095699999985"
"59.38181270000011, 10.652965300000014","59.3756559, 10.819858900000021"
"59.411188600000166, 11.377293599999975","59.513504999999896, 11.230444999999994"
"59.41518850000055, 5.32535489999999","59.1543470000001, 5.213768999999998"
"59.428572300000226, 11.376332000000048","59.88602970000009, 11.211324600000035"
"59.43547500000008, 5.296767999999998","59.3533492, 5.190699900000016"
"59.437959000000255, 5.240173000000001","59.43116149999982, 5.489160400000013"
"59.44254639999977, 5.392569599999985","59.21036900000004, 5.172699000000008"
"59.45501040000007, 11.173798200000038","59.56605140000016, 11.16588629999997"
"59.457047100000224, 11.42159799999999","59.88491869999997, 11.208994399999979"
"59.4680830000001, 5.251814000000005","59.35873000000006, 5.27429899999999"
"59.48958590000029, 10.670490100000048","59.418854799999835, 10.659789900000112"
"59.49042000000002, 11.398769000000003","59.920728100000574, 11.152314600000011"
"59.49969419999986, 11.47128099999995","59.88363140000006, 11.228327799999969"
"59.501686099999596, 10.6978792999999","59.3884907, 10.750700599999998"
"59.51902339999991, 11.414261699999976","59.92059800000037, 11.200391000000176"
"59.52405900000015, 10.171960999999975","59.44674300000004, 10.155896000000018"
"59.52772399999987, 11.345996999999995","59.93243589999985, 11.16634730000005"
"59.54575599999991, 11.337516999999997","59.93305220000038, 11.136745299999927"
"59.55148629999992, 11.167876100000004","59.95624599999996, 11.167491999999998"
"59.555702900000185, 9.193082000000029","59.517618200000456, 9.340383800000023"
"59.5700531000002, 11.336435999999964","59.47701900000001, 11.245677999999977"
"59.57902660000017, 11.46673860000003","59.94468650000012, 11.108175700000055"
"59.58842499999989, 10.664182999999985","59.68154600000023, 10.777604000000002"
"59.608865500000185, 11.448099900000013","59.99581389999991, 11.015893699999962"
"59.61419500000007, 10.214752000000033","59.96993810000038, 10.694652300000026"
"59.63124650000074, 11.33475990000004","59.96024549999995, 10.885364799999996"
"59.63553810000014, 11.487908600000027","59.981452499999996, 11.061971799999991"
"59.641676700000126, 11.307482300000007","60.094673700000286, 11.176963399999957"
"59.64326709999997, 11.438681299999994","59.99659760000028, 11.097538700000003"
"59.65047640000001, 10.211472800000017","60.02476900000022, 10.903141"
"59.6631165, 11.404373200000004","59.945203499999856, 10.74951330000005"
"59.667616000000564, 9.469718000000015","59.636376600000176, 9.29648030000003"
"59.66821770000003, 6.408266299999992","59.611450900000015, 6.234078899999999"
"59.677870000000176, 10.365623000000056","59.76383610000027, 10.118239900000013"
"59.68200240000008, 10.364138800000037","59.729087099999944, 10.228378700000015"
"59.68480599999992, 10.320616999999993","59.75338279999991, 10.231575899999942"
"59.690642200000106, 10.320927300000017","59.74406130000006, 10.158262999999996"
"59.70622300000002, 10.464989999999991","59.55177999999992, 10.563122999999988"
"59.71533509999999, 10.129218199999956","59.67655510000009, 10.37465390000004"
"59.717019500000134, 10.226378299999958","59.77843719999945, 9.896586799999959"
"59.71822159999999, 11.496111899999997","60.13251999999994, 11.16434770000001"
"59.72884499999987, 10.518429000000024","59.791646199999946, 10.481177600000056"
"59.730446399999565, 10.121844100000018","59.67392400000011, 10.375958000000013"
"59.73625800000001, 9.847722000000028","59.93993140000006, 10.759101099999956"
"59.74541689999998, 10.42437469999999","59.8291453999999, 10.488566800000099"
"59.74673789999993, 10.226140599999995","60.02867199999994, 10.864513700000002"
"59.74967859999988, 10.013738100000054","59.698657899999944, 10.20714470000001"
"59.7501149, 10.51217770000003","59.84638440000004, 10.329595800000005"
"59.75017770000005, 10.043752899999998","59.984974099999945, 10.854602699999969"
"59.76172600000029, 10.483069000000002","59.83880630000003, 10.321403999999966"
"59.76216319999973, 10.278689300000003","60.126167199999884, 10.823316899999986"
"59.76494530000007, 10.235342199999977","59.86363519999992, 10.421002099999937"
"59.767686999999995, 11.279437999999935","60.20568639999996, 11.274475499999975"
"59.770255999999996, 10.404909","59.84551160000018, 10.329811099999983"
"59.776268000000194, 10.592500000000003","59.858390999999976, 10.674466999999975"
"59.77838419999967, 10.068643099999985","59.790795, 9.899035999999978"
"59.77933939999996, 11.279182399999959","59.910557599999805, 11.121475600000025"
"59.781871000000294, 10.406193","59.839396400000034, 10.513048599999998"
"59.786824999999986, 10.600931999999975","59.869919000000074, 10.66081900000004"
"59.798585099999556, 10.365957499999997","59.90912269999998, 10.642591400000017"
"59.806943000000004, 10.613394999999997","59.87012069999996, 10.655364099999986"
"59.810242799999976, 10.317703500000055","59.820755999999975, 11.238444999999967"
"59.811601299999694, 10.1936002","59.95414720000001, 11.016966400000026"
"59.81674200000003, 10.46028199999998","59.73302700000004, 10.516801"
"59.82679069999977, 10.801960400000056","59.76499240000004, 10.815961099999981"
"59.82980559999965, 10.362149900000007","59.750584999999894, 10.500165000000054"
"59.836116600000025, 10.310632699999966","59.76204600000024, 10.473054999999997"
"59.839448200000156, 10.513627899999973","59.76074299999998, 10.401874000000005"
"59.84044049999973, 10.362544999999978","59.75169100000011, 10.462321"
"59.84117510000002, 10.464578299999985","59.75585499999995, 10.49929000000006"
"59.84119019999999, 10.365461100000063","59.750959999999885, 10.50185900000006"
"59.841963699999944, 9.880186899999986","59.76893360000013, 10.021370899999969"
"59.84248890000004, 10.440521299999975","59.77017700000002, 10.404927000000013"
"59.84328089999979, 10.489195400000003","59.75469600000002, 10.513278"
"59.84467370000005, 10.378090999999994","59.75469600000002, 10.513278"
"59.845207400000334, 10.466442599999954","59.76391110000013, 10.402957900000002"
"59.84541499999997, 11.243552999999984","59.772076899999995, 10.251095299999962"
"59.85044200000001, 10.45710079999999","59.84293500000027, 11.264451000000008"
"59.85205449999992, 10.328460399999978","59.91297409999982, 10.5007821"
"59.85372560000005, 10.466683899999985","59.782664399999696, 10.454504999999985"
"59.859250999999965, 8.336538100000016","59.863325699999976, 8.591875700000026"
"59.86009819999997, 8.355196000000019","59.86901799999998, 8.571782799999987"
"59.86029209999997, 8.596422100000016","59.86140629999997, 8.385694800000026"
"59.86086819999997, 8.327516800000028","59.86901799999998, 8.571782799999987"
"59.86107679999997, 8.382190500000027","59.868760799999976, 8.537586799999989"
"59.86284259999997, 8.396864400000021","59.86255939999999, 8.592550900000026"
"59.86303589999998, 8.404394500000016","59.8700215, 8.526563299999982"
"59.863617899999916, 10.421419199999937","59.780667000000214, 10.500549000000003"
"59.8649912000006, 10.493057300000034","59.792168399999795, 10.502291299999941"
"59.8652792000002, 10.749285500000067","59.93140700000002, 10.918348000000003"
"59.866228799999995, 8.5816264","59.862831199999974, 8.39674480000002"
"59.86749699999999, 8.580705899999993","59.859633999999986, 8.345335800000019"
"59.86968170000001, 8.558720099999986","59.85930229999997, 8.336062800000017"
"59.869839100000306, 11.255448600000069","59.83984790000016, 10.45530459999997"
"59.871436500000044, 10.798035699999984","59.77640400000009, 9.884144999999995"
"59.87497230000006, 10.606149899999986","59.94021949999975, 10.724873099999929"
"59.88228990000026, 10.598123600000049","59.94562039999995, 10.603931700000015"
"59.88647020000008, 10.85837480000001","59.92682140000014, 10.746872500000036"
"59.890522999999966, 10.864271099999986","59.749415799999994, 10.060687199999995"
"59.894893999999944, 10.620255200000042","59.96744210000021, 10.656445200000011"
"59.90024360000036, 10.523528700000046","59.952575600000316, 10.727119199999969"
"59.90177219999992, 11.083630599999946","59.99940800000005, 10.95777700000001"
"59.91256880000002, 10.792824299999985","59.93724010000016, 10.529921200000047"
"59.91297409999982, 10.5007821","59.932155899999884, 10.62593019999993"
"59.917765399999986, 11.30831260000001","59.779232200000024, 11.279170699999959"
"59.922385200000036, 10.576010499999976","59.941063700000164, 10.70065340000001"
"59.923431000000114, 10.551621299999983","59.953409500000134, 10.702918499999988"
"59.92483880000013, 10.795367599999997","59.95774300000003, 10.6060083"
"59.9264106, 10.972412000000007","59.76205570000028, 10.106732800000044"
"59.927240299999845, 10.69498259999999","59.78627399999994, 9.865145999999969"
"59.92848640000009, 10.72264649999999","59.972928500000016, 10.6308834"
"59.930076799999945, 10.699701800000003","59.88366859999993, 10.61750840000002"
"59.930214700000334, 11.197754800000071","59.54669779999996, 11.167759899999982"
"59.9376709999999, 10.506819499999972","59.99433780000001, 10.4195916"
"59.93849190000027, 10.772984800000057","59.90912269999998, 10.642591400000017"
"59.94034399999993, 11.208282","59.74215820000023, 10.241803200000064"
"59.941195399999735, 10.738585799999997","59.60862050000016, 10.244460700000156"
"59.94386490000008, 10.628497500000014","59.876682500000406, 10.61390609999998"
"59.94951099999988, 6.671315999999981","59.91046600000021, 6.51533799999999"
"59.950955999999856, 6.952722999999994","59.901719999999884, 6.908927999999993"
"59.951189799999945, 10.751150199999989","59.99202350000028, 10.634860799999904"
"59.9512252000003, 10.775671800000083","59.88152100000048, 10.597051199999981"
"59.95164139999998, 11.08705849999997","59.54336260000003, 11.386455699999981"
"59.95277400000033, 11.263653999999976","59.55410969999996, 11.330464100000015"
"59.95516949999991, 10.998432400000112","59.58139199999988, 11.385667999999995"
"59.95686499999997, 11.077381000000003","59.528974200000086, 11.438730300000028"
"59.960530999999804, 10.57974699999999","59.982163899999996, 10.817136400000006"
"59.96263130000013, 10.706224299999997","59.94500629999998, 10.57966730000006"
"59.96279800000013, 10.753453400000017","59.92094560000003, 10.60011190000001"
"59.96446440000016, 10.728885699999966","59.90891520000002, 10.597801299999967"
"59.98058499999988, 11.002159000000036","59.72320549999946, 10.162274400000015"
"59.98369879999997, 10.921353799999965","59.72274950000002, 10.253106200000012"
"59.98371479999997, 10.93018229999996","59.64372899999986, 10.258951000000037"
"60.00623419999972, 10.907950299999964","59.95110150000001, 10.751119099999984"
"60.0068470000003, 10.4018299","59.92630759999991, 10.478843300000019"
"60.01885190000015, 11.08092430000004","59.65756359999984, 11.453363699999942"
"60.02535640000001, 10.840004699999987","59.96269499999999, 11.068015000000008"
"60.05900470000001, 10.178331500000008","60.1765333000001, 10.32442829999999"
"60.08525970000006, 11.01972079999995","59.988472400000035, 11.00276780000002"
"60.13350679999988, 5.363114500000017","60.281110999999875, 5.548732799999999"
"60.13984380000019, 10.418043599999967","60.08101229999998, 10.284260299999971"
"60.1424498, 11.17583740000001","59.6734902000001, 11.350817500000034"
"60.14771230000001, 11.300245099999987","60.13076000000003, 11.102963000000008"
"60.149733599999976, 5.384231499999952","60.27925609999988, 5.5476687"
"60.15695890000012, 11.416498100000007","59.75883649999993, 11.29708690000004"
"60.16785579999989, 10.249504199999983","60.17285750000004, 10.399166799999993"
"60.196697100000115, 5.36153890000003","60.4742777, 5.272941199999983"
"60.19977610000012, 5.477892000000019","60.44705380000002, 5.08761300000001"
"60.20270079999993, 5.523957599999992","60.35806280000001, 5.333468599999986"
"60.20437919999986, 5.408018800000028","60.443130000000075, 5.067157700000018"
"60.2240137, 5.280715399999984","60.28207400000012, 5.352402099999978"
"60.2240137, 5.280715399999984","60.296993399999934, 5.280990700000002"
"60.22762920000004, 5.303056599999984","60.51017209999982, 5.298001200000022"
"60.237229599999935, 5.550656199999992","60.5425120000001, 5.264713400000028"
"60.25723230000005, 5.344801299999984","60.51440760000001, 5.193213999999916"
"60.26187289999993, 5.251624200000036","60.57512499999994, 5.289274100000011"
"60.270400000000016, 5.38040350000004","60.35090419999982, 5.428305599999944"
"60.27178459999987, 5.551521900000001","60.175178100000075, 5.381872000000036"
"60.27178459999987, 5.551521900000001","60.150606100000104, 5.427060100000001"
"60.27269350000009, 5.061309399999993","60.33062900000017, 5.113160000000069"
"60.274748000000116, 7.621528999999993","60.32255300000012, 7.5409800000000065"
"60.27509800000012, 7.61754699999999","60.32525200000012, 7.544469000000006"
"60.27687700000012, 7.608182999999991","60.34591800000022, 7.554367999999996"
"60.277046700000014, 5.066699499999985","60.5526091999997, 5.295682399999985"
"60.27766800000011, 7.598274999999991","60.33358300000012, 7.543002000000001"
"60.28061290000046, 5.3823861","60.577992100000074, 5.357683199999971"
"60.28199210000005, 5.463476699999997","60.53451879999997, 5.244891500000002"
"60.28204600000036, 5.04527739999998","60.55324930000006, 5.306487100000002"
"60.28219300000012, 7.586577999999998","60.34591800000022, 7.554367999999996"
"60.29486889999969, 5.156355100000051","60.477314600000135, 5.202091999999995"
"60.29581399999989, 5.159410899999961","60.46087399999993, 5.235624799999996"
"60.29770369999987, 5.158928699999964","60.3944004, 5.23353910000001"
"60.3092923, 5.331117300000005","60.32119940000001, 5.478709599999994"
"60.31595170000025, 5.210837299999963","60.29688689999994, 5.306506699999955"
"60.32123979999993, 5.331167500000021","60.27745899999999, 5.4044915"
"60.321654200000104, 5.257786099999993","60.3697076999998, 5.455040600000031"
"60.32346639999999, 5.179980799999974","60.47151869999998, 5.2011987999999905"
"60.3262463000001, 5.305830200000025","60.25546920000001, 5.277594300000065"
"60.329440799999915, 5.331853900000017","60.21202830000002, 5.50484309999999"
"60.33203029999986, 5.060869800000025","60.38010520000016, 5.110547700000025"
"60.3339081, 5.208476199999997","60.29901320000007, 5.132347899999985"
"60.346316799999876, 5.307273699999992","60.30938870000004, 5.3557271999999925"
"60.346725000000035, 5.111313500000005","60.298995300000776, 5.0400672999999605"
"60.349082000000145, 7.5474700000000015","60.275909000000105, 7.601245999999991"
"60.35245300000015, 7.537996","60.27642800000012, 7.6123319999999906"
"60.35827000000019, 5.233536999999977","60.257224499999964, 5.280845700000026"
"60.363310500000296, 5.216973999999906","60.32005290000013, 5.280454199999996"
"60.365905000000154, 7.525370999999997","60.28745200000012, 7.567706000000001"
"60.36756540000006, 5.376736700000004","60.28498250000002, 5.403424300000012"
"60.371279600000236, 5.307434400000017","60.321492400000245, 5.3562225999999935"
"60.3716362, 5.332729399999963","60.333682999999894, 5.258506700000023"
"60.37282569999998, 7.171180400000015","60.42737200000013, 7.126610999999986"
"60.38076590000004, 5.477306499999997","60.3092923, 5.331117300000005"
"60.38187749999979, 5.455296400000053","60.34543379999998, 5.380908500000005"
"60.388195700000175, 5.283448799999977","60.3322945, 5.3554501000000005"
"60.389502199999924, 5.127855100000023","60.33049399999991, 5.183495000000042"
"60.41809080000012, 5.455992700000031","60.34846269999995, 5.421620199999989"
"60.425983000000116, 7.132244999999989","60.37209929999996, 7.170476900000011"
"60.433644499999986, 5.1700263000000035","60.185509600000046, 5.0462169999999595"
"60.440954000000076, 7.093744999999989","60.379138000000026, 7.161685999999995"
"60.44381840000006, 5.160126099999995","60.39165980000011, 5.258083699999977"
"60.45001140000008, 5.304468699999973","60.13392449999975, 5.364761500000025"
"60.45159730000008, 5.1287302000000095","60.202897299999876, 5.380035800000039"
"60.457747000000275, 10.537094000000035","60.5276600000003, 10.47663800000003"
"60.46307000000012, 5.231387999999987","60.46543480000005, 5.0738129000000125"
"60.465225000000046, 5.196686599999997","60.30289600000041, 5.169942199999977"
"60.465225000000046, 5.196686599999997","60.41907060000006, 5.250509900000011"
"60.48677400000015, 11.157789000000024","60.56459400000015, 11.133410000000026"
"60.488366000000255, 10.569085000000031","60.40507999999992, 10.476997999999995"
"60.48933359999991, 5.207875200000003","60.14838600000013, 5.426621300000005"
"60.48933359999991, 5.207875200000003","60.35839089999933, 5.184507099999999"
"60.50783620000017, 5.275385199999994","60.455925000000065, 5.284335299999987"
"60.50783620000017, 5.275385199999994","60.44084630000019, 5.380416799999976"
"60.53707389999993, 11.859888299999986","60.500991799999866, 11.610854400000076"
"60.53715189999993, 11.859685599999986","60.51323879999987, 11.616693700000075"
"60.53811129999997, 11.82478629999999","60.60829319999951, 11.789696199999971"
"60.55208700000018, 11.123125000000035","60.47358699999991, 11.143919000000007"
"60.55531329999971, 5.275183899999992","60.30574439999994, 5.045409499999953"
"60.556807099999716, 5.254874699999986","60.29212820000041, 5.077252399999986"
"60.56003959999979, 5.243274200000007","60.22225900000002, 5.290949599999992"
"60.56336600000001, 5.264228499999993","60.230573100000115, 5.375957400000007"
"60.56874830000022, 11.784163399999978","60.519732999999874, 11.669767700000067"
"60.56945800000017, 11.134735000000028","60.48385999999993, 11.138886000000003"
"60.57484100000016, 11.134577000000027","60.476579799999975, 11.166640999999998"
"60.5793749, 5.233706399999999","60.30401229999984, 5.2930242000000005"
"60.582460799999964, 5.350219799999994","60.270996200000084, 5.333075299999963"
"60.62107899999998, 6.6002510000000285","60.65644040000083, 6.401616199999971"
"60.622023100000014, 5.33680349999999","60.33871250000001, 5.397593000000046"
"60.62662659999999, 6.397844599999998","60.6734498, 6.556173099999997"
"60.632930100000046, 5.371027499999993","60.307965000000294, 5.365884799999979"
"60.636844499999945, 5.364669700000011","60.333336099999876, 5.345344000000003"
"60.638398000000095, 10.698139999999995","60.716314200000056, 10.864238799999995"
"60.69783799999994, 10.734398000000025","60.65376800000016, 10.877438"
"60.773373400000025, 6.738344700000005","60.85538730000019, 6.757015600000011"
"60.773952900000054, 6.778019999999924","60.796618699999826, 6.680771200000002"
"60.825672999999995, 11.662890000000019","60.85511899999998, 11.541957000000012"
"60.85846099999995, 11.21700500000001","60.76241650000004, 11.170705900000005"
"60.903237000000466, 11.576854","60.83161799999991, 11.53308100000003"
"60.95539700000004, 11.582827000000012","60.8262270000001, 11.636001000000025"
"60.957342000000175, 11.61227199999997","60.82629399999985, 11.588508000000001"
"61.091898300000025, 10.627380200000001","61.16285230000027, 10.69426699999997"
"61.1242771000005, 10.73742410000013","61.178189200000105, 10.59596750000004"
"61.12894539999997, 10.737331999999999","61.17778700000007, 10.679853600000019"
"61.13698289999994, 10.715752199999969","61.17749800000003, 10.619969199999982"
"61.14999479999981, 10.541138900000098","61.12534119999989, 10.40873020000004"
"61.183689600000164, 11.413813099999976","61.248383700000026, 11.588315299999993"
"61.1864959999999, 11.45636890000001","61.28839220000001, 11.585881100000005"
"61.18748710000002, 11.470084899999977","61.2694029, 11.59747519999999"
"61.1887366000001, 11.426198199999988","61.287968100000036, 11.65102539999997"
"61.192357500000114, 11.422803900000012","61.27883790000016, 11.591792599999998"
"61.19519970000002, 11.479606699999957","61.28555520000003, 11.551880099999972"
"61.198173099999984, 11.509918199999968","61.28832630000004, 11.656164699999994"
"61.19858500000007, 11.510002899999998","61.24606980000002, 11.547036099999994"
"61.201856200000194, 11.437039000000055","61.247999999999884, 11.597745200000013"
"61.20375000000019, 11.416943500000055","61.26733830000015, 11.535289499999957"
"61.205915700000006, 11.546678699999894","61.306923500000075, 11.672210599999998"
"61.2073031000005, 11.564666900000013","61.30548150000008, 11.56623870000001"
"61.20765390000008, 11.514106699999987","61.27046689999989, 11.654104100000023"
"61.20858800000007, 7.532507000000011","61.240505399999705, 7.660972500000004"
"61.20861899999997, 11.569639699999904","61.27549959999989, 11.609460600000023"
"61.208945000000114, 11.426279500000009","61.25884870000028, 11.567930099999996"
"61.209420700000074, 11.519009099999984","61.28912230000003, 11.660874799999995"
"61.20985900000003, 11.407881000000032","61.26011090000015, 11.52719279999996"
"61.21060750000012, 11.472529899999989","61.28478080000017, 11.583380900000005"
"61.21099599999997, 11.577820699999906","61.306810700000085, 11.672116199999998"
"61.212369100000004, 11.578890199999972","61.220430300000025, 11.407697899999976"
"61.212541900000005, 11.54295169999997","61.297749000000266, 11.565145800000023"
"61.212541900000005, 11.54295169999997","61.29215779999988, 11.635404300000017"
"61.21281810000006, 11.399171500000032","61.26458430000001, 11.587964000000003"
"61.21346050000002, 11.580479199999969","61.306186600000146, 11.640591499999983"
"61.213968000000065, 11.399025100000031","61.27364970000001, 11.580991800000005"
"61.2140275000002, 11.409650899999995","61.27357940000017, 11.524406500000008"
"61.215010800000044, 11.612238300000032","61.3146757, 11.53506190000001"
"61.215785700000026, 11.504477899999975","61.31824290000011, 11.616936599999988"
"61.21597190000003, 11.485047699999974","61.30375240000006, 11.619539899999962"
"61.217212100000005, 11.46671749999998","61.31574340000007, 11.666194499999994"
"61.21825780000004, 11.547623899999975","61.30050340000014, 11.652054699999985"
"61.22168680000006, 11.453731799999977","61.23922610000005, 11.61706079999998"
"61.22255269999999, 11.474367799999973","61.2808143999999, 11.64637160000002"
"61.22363470000004, 11.636468900000034","61.314062800000144, 11.652523199999992"
"61.22542629999987, 11.617664800000016","61.34682199999987, 11.503649000000038"
"61.22598550000005, 11.41999389999998","61.17634920000007, 11.45610009999999"
"61.22706910000008, 11.484326099999958","61.30105420000003, 11.660440699999997"
"61.230518499999924, 11.486999999999966","61.2812394999999, 11.626271000000028"
"61.232954200000044, 11.656327100000027","61.23387660000013, 11.41916650000002"
"61.23394930000019, 11.419162000000004","61.28517660000023, 11.563636499999975"
"61.23493579999987, 11.608242800000015","61.21425870000009, 11.439747199999989"
"61.235830299999826, 11.519427600000048","61.31051390000015, 11.634596099999989"
"61.23614199999971, 7.691924200000004","61.209494000000056, 7.53273299999996"
"61.236419499999876, 11.535160400000052","61.28647080000001, 11.680916499999974"
"61.23712780000008, 11.494679999999995","61.22770655000005, 11.64791975000003"
"61.238888500000115, 7.663896300000021","61.20812600000006, 7.53468999999996"
"61.240255899999966, 11.660083000000002","61.220430500000035, 11.419551699999987"
"61.24139150000013, 11.585496900000022","61.335125999999846, 11.504209000000042"
"61.241896600000025, 11.597822899999993","61.356621999999874, 11.494838000000039"
"61.24197279999986, 11.59713590000002","61.28647080000001, 11.680916499999974"
"61.24340069999994, 7.718218500000035","61.24567300000008, 7.596714000000018"
