origin,destination
"54.961404300000225, 23.727283200000027","54.88888950000065, 23.97884999999998"
"54.81303930000002, 25.361753400000005","54.65706230000026, 25.398776599999966"
"54.781045599999956, 25.109680699999977","54.70680259999997, 25.395968700000157"
"54.614972299999984, 25.229811499999986","54.73108369999985, 25.393502299999806"
"54.78915019999992, 25.374344999999952","54.63770240000026, 25.42503779999997"
"55.00737570000013, 24.028939600000054","54.86142020000051, 23.947373500000033"
"54.65957070000019, 25.423833099999936","54.79916690000003, 25.425465599999974"
"54.8637881, 23.997622099999955","54.94041100000015, 23.717594700000028"
"55.89098339999995, 23.24983730000002","55.78987190000011, 23.367869299999978"
"54.982514199999834, 23.77260339999994","54.85876420000005, 24.002853099999946"
"54.89157300000005, 23.930664400000058","54.85929599999986, 23.70041230000004"
"54.80808530000015, 25.372576100000128","54.65385199999973, 25.431766600000014"
"54.78208429999999, 25.09492210000003","54.71416809999989, 25.42578519999999"
"54.9073792, 23.995391299999987","54.725768799999955, 23.966729800000017"
"55.96664520000001, 23.313718599999984","55.81989180000011, 23.308496800000015"
"54.94576990000027, 23.762023100000018","54.862223699999966, 24.00595910000003"
"54.80741530000013, 25.3388646000001","54.66933960000035, 25.397841200000144"
"54.80978720000015, 25.369735700000128","54.66313339999982, 25.421038700000004"
"54.88880299999982, 23.974666999999936","54.94224260000028, 23.726675500000027"
"54.853835199999885, 24.00486340000001","54.97913230000018, 23.736509499999993"
"54.88714600000014, 23.945596399999985","54.73594620000053, 23.956003500000094"
"54.811136600000154, 25.367659600000128","54.649930800000774, 25.417720399999894"
"54.590619100000055, 25.327768000000017","54.75834800000018, 25.41544410000015"
"54.60354129999991, 25.350289900000064","54.75929040000018, 25.41163979999992"
"54.72767579999992, 25.394033900000014","54.61153269999983, 25.255148399999975"
"54.712111699999845, 25.3853317999999","54.77206910000021, 25.119820800000028"
"54.631002400000035, 25.200482800000024","54.730230300000116, 25.41241499999999"
"54.89616660000009, 23.976499099999945","54.856080449999865, 23.714258700000034"
"54.86949070000006, 23.853848400000043","54.873384600000016, 24.12295110000005"
"54.798549700000194, 25.42329399999999","54.66442690000093, 25.387094399999786"
"54.94132980000001, 23.761975499999973","54.85988550000013, 24.003575500000043"
"54.86061080000032, 24.107924399999884","54.886077799999875, 23.85336790000011"
"54.9158786999999, 23.88758040000001","54.84589349999989, 24.147349799999965"
