origin,destination
"44.9908200000001, 27.59945330000003","44.99893819999977, 27.428809200000018"
"44.13194840000005, 25.161939600000007","44.23370749999993, 25.054012200000027"
"43.92103999999993, 23.566020199999993","43.92163330000024, 23.39518460000016"
"43.75020599999996, 25.534453000000028","43.86630690000008, 25.443527100000033"
"45.760286200000145, 27.20327109999998","45.64359009999998, 27.071023599999954"
"46.92209390000002, 27.35149639999999","46.86499099999992, 27.256320300000052"
"44.507851700000394, 26.058915499999976","44.626929400000016, 26.12879399999994"
"47.450910299999975, 26.256176299999858","47.346471899999855, 26.36893550000007"
"44.0840294, 28.186140099999918","44.020140299999994, 28.348814500000003"
"47.69741499999994, 27.247447999999984","47.82297030000002, 27.1727045"
"43.69770119999989, 25.526845100000173","43.74984670000001, 25.709128999999997"
"46.331928800000014, 26.721593400000046","46.48912950000008, 26.796336600000014"
"45.71786170000007, 21.37988850000004","45.74244039999997, 21.216355800000123"
"46.055728249999994, 21.27548994999983","45.95027800000016, 21.205236300000063"
"44.96247480000014, 24.9324774","45.1034151000009, 25.033182000000064"
"44.780776700000075, 23.838337000000035","44.92019689999984, 23.824802800000022"
"43.94820540000017, 28.246270700000025","44.01922160000003, 28.321904199999985"
"44.7088809, 23.411191000000027","44.858768100000006, 23.276194699999948"
"47.2523699, 21.925792099999992","47.383127200000445, 22.143165899999886"
"47.805363599999595, 25.993621500000017","47.694555899999884, 26.19059529999997"
"43.85266470000011, 28.609093099999875","43.96537050000023, 28.651547399999984"
"45.158868800000086, 25.076603700000014","45.022253899999875, 24.96878089999999"
"44.21865470000003, 28.40302330000003","44.10438910000006, 28.353899799999894"
"46.032161599999995, 27.216860399999916","46.133863475000055, 27.07262922500003"
"45.71407720000013, 22.999640900000017","45.552348700000195, 22.940756699999906"
"47.856727999999976, 22.808851","47.75084580000018, 22.719204400000166"
"45.45772249999992, 23.200791500000012","45.51539289999994, 22.966739100000076"
"46.08340330000001, 20.6005772","46.146529000000015, 20.48300029999998"
"44.963653899999976, 24.96477500000005","45.12281889999995, 25.004790300000003"
"44.30294609999981, 22.91554060000001","44.184864099999864, 22.849527399999953"
"46.52037730000018, 26.182168300000022","46.43434180000006, 26.377166399999965"
"45.867863099999866, 25.53356969999997","45.684064399999436, 25.57313359999989"
"47.73286900000004, 23.359284700000046","47.66068700000006, 23.524532999999977"
"47.28076749999998, 26.95279750000004","47.22825149999991, 27.12589800000003"
"45.820857800000134, 21.2191949","45.74499490000022, 21.10138889999998"
"45.23111949999997, 27.421845499999993","45.11082160000017, 27.406468799999928"
"46.0211469000002, 22.847050999999958","46.14213350000054, 22.791058599999868"
"47.200817100000016, 24.005725100000014","47.159313699999984, 23.820459899999992"
"46.107920799999675, 27.66682930000006","45.9903454000003, 27.78626940000004"
"47.07199109999993, 21.83052069999997","47.047310400000185, 21.976473000000006"
"45.95536379999984, 20.54391340000001","45.85090859999999, 20.655262500000024"
"46.296831200000014, 26.715078099999996","46.45672709999999, 26.752600499999993"
"47.73866579999955, 23.16300590000016","47.87475219999999, 23.11846209999998"
"47.20042369999961, 22.8790284","47.07943970000012, 22.88718640000002"
"47.67314339999971, 23.520576499999958","47.74917660000005, 23.376816800000046"
"47.566710399999984, 27.254137699999983","47.448927400000024, 27.30251029999994"
"47.81783299999995, 23.169038799999946","47.96179495000004, 23.061754275000016"
"47.96407560000021, 26.133103500000022","48.03392010000003, 26.26281189999997"
"45.36616380000001, 22.21346489999996","45.52359869999996, 22.211791300000044"
"47.31346320000007, 23.76637579999998","47.26054189999985, 23.581011100000016"
"44.10931219999999, 23.4070505","44.162353299999964, 23.60743960000001"
"45.886400200000026, 21.433257299999976","45.98298869999994, 21.423865599999914"
"46.787835199999776, 21.635151200000003","46.908971799999996, 21.795706900000006"
"44.36460500000014, 27.803230200000023","44.2790467000001, 27.616781000000007"
"45.571358000000025, 21.2103994","45.57061059999999, 21.386481599999946"
"47.2843075, 22.11377399999996","47.18560730000005, 22.221304799999974"
