origin,destination
"41.49428699999998, 1.9595018000000104","41.68656740000008, 2.000266600000008"
"42.3327840999999, -0.5121362999999841","42.321569699999735, -0.2387595000000209"
"43.05867869999996, -3.499418900000006","43.173402900000006, -2.6534312999999967"
"38.152174100000316, -0.6287233000000175","38.33696469999985, -0.4779583999999979"
"36.50500110000002, -4.666988700000009","36.50534179999999, -4.888319600000018"
"37.77929999999988, -0.746457100000021","37.63283440000014, -0.6898432000000015"
"41.52199680000005, 1.9791141000000012","41.70253140000024, 1.9918296000000126"
"43.553155199999885, -7.742316299999994","43.7072022999999, -7.713560900000011"
"38.949433300000265, -0.13251069999999565","38.858512699999764, 0.06869120000000281"
"41.416473200000034, 2.1805432000000002","41.36128370000015, 1.9533279000000046"
"36.542271299999946, -4.647099400000001","36.517807099999715, -4.853236499999995"
"42.350942100000324, -0.540078500000019","42.317311200000184, -0.27376569999999606"
"43.38277890000017, -8.393744100000017","43.369887600000126, -8.4350368"
"42.90005120000007, -6.692049199999999","42.86291710000006, -6.595666600000004"
"41.61353390000007, -4.762554199999996","41.452733700000124, -4.861641500000004"
"39.510550400000135, -0.32059010000001215","39.551991600000015, -0.5357980999999776"
"41.500166599999986, 2.388923099999974","41.36996639999991, 2.0913727000000057"
"41.800406, 1.8279446000000024","41.65868469999992, 1.9903202000000157"
"41.97495500000037, -8.764442400000013","42.590111500000184, -8.584590400000016"
"41.737483700000155, 1.9492446999999962","41.596375900000034, 2.0395810999999986"
"43.438308299999946, -4.04550039999998","43.35017700000012, -4.038439600000003"
"41.56703269999989, 2.1722619000000014","41.310175299999955, 2.0366121000000112"
"42.498084199999916, -7.306044899999988","42.52780050000015, -7.127388799999991"
"41.285453499999946, 2.0999359000000024","41.37466950000016, 2.166766300000003"
"42.32230749999976, -0.2289748000000209","42.34522800000032, -0.5269649000000188"
"40.17446540000032, -3.7533394999999867","40.35818210000023, -3.788354899999998"
"42.48059999999994, -8.654400899999974","41.903165300000076, -8.879849399999989"
"42.35485750000031, -0.545756900000019","42.31814420000005, -0.3055270999999956"
"37.83976420000022, -2.958572300000014","37.73713570000007, -2.970187200000002"
"42.940476399999866, -6.177692000000001","42.959564900000146, -6.451416700000002"
"40.4160008, -3.608464100000005","40.04583200000019, -3.6863793000000076"
"39.81484320000001, -4.230612400000022","39.90409649999986, -4.307690100000016"
"42.10428010000016, -8.573977200000009","42.47349789999989, -8.568853000000004"
"41.52795459999995, 2.120520599999998","41.69206000000026, 1.9982589999999933"
"36.75523829999998, -4.563060899999997","36.492158399999944, -4.691704600000009"
"40.30125100000007, -3.504963900000004","40.900450799999845, -4.003419599999993"
"42.31355660000012, -0.2922769999999902","42.34084710000031, -0.5160203000000191"
"40.44635750000009, -3.693339899999997","40.32755179999996, -3.7322307000000214"
"41.63264569999996, 1.9036847999999935","41.61596450000002, 2.0986776999999996"
"38.02966279999991, -2.14201949999999","38.16966480000015, -2.236936400000005"
"37.73711450000006, -2.9700907000000023","37.83898960000021, -2.9743619999999993"
"42.03815059999999, -8.756182100000041","42.06860100000004, -8.573421599999975"
"38.943294900000026, -1.9120077000000055","39.1044170999999, -1.807851800000001"
"42.272629599999966, -8.617554100000012","42.334566299999736, -8.824889000000038"
"41.78448600000011, 1.8486157999999957","41.65765019999991, 1.9828838000000155"
"41.69836680000004, 1.995121100000002","41.58579909999968, 2.125968900000003"
"41.84141150000008, 2.2866119999999985","41.299731300000104, 1.987653499999965"
"41.61036250000011, 2.5457306000000006","41.35557849999989, 1.797083899999997"
"41.55074030000025, 2.484899699999995","41.37499620000015, 2.0479276000000106"
"36.18863450000006, -6.026135200000001","36.10159060000011, -5.818806599999999"
"42.48930240000009, -8.641562700000012","42.41124000000021, -8.584010700000006"
"39.53471609999999, -4.851587800000003","39.41491289999974, -4.874020000000007"
"42.88607459999987, -5.7624422999999965","42.84934259999964, -5.491954299999995"
"42.32171650000004, -0.1981226999999978","42.31709489999989, -0.469282199999984"
"42.224065100000054, -8.719248900000013","42.29006550000016, -8.719187100000012"
"36.60138319999996, -5.818674800000036","36.6463547, -6.391789199999973"
"36.82670300000015, -2.500985900000017","36.83083559999993, -2.3117728000000106"
"42.3977126, -8.758549199999965","42.47562499999987, -8.570041800000011"
"38.1633655, -6.6290624000000005","38.218307900000255, -6.801448000000009"
"41.27836300000004, 2.0744039999999915","41.51420229999988, 1.9819639999999894"
"43.130576600000076, -2.763682700000009","43.15738670000005, -2.5709993000000013"
