origin,destination
"48.253143099999996, 16.439018300000015","48.29577220000015, 16.19798639999991"
"48.168676799999915, 16.619443499999985","48.25875260000006, 16.4335198"
"47.21772810000037, 9.806401999999997","47.1316284000004, 9.663714899999992"
"47.56597020000001, 12.677281200000008","47.39820530000007, 12.919490100000026"
"47.409391900000166, 9.775698","47.46669389999992, 9.594324200000012"
"48.27055750000087, 16.158606300000105","48.14023559999986, 16.320852900000013"
"48.168969000000025, 16.613055699999965","48.29699550000013, 16.22719769999992"
"48.30626240000008, 16.469004499999976","48.272874799999975, 16.225050699999986"
"48.2287487999995, 16.518782199999926","48.30471810000013, 16.253937899999993"
"47.364009200000574, 12.785975399999964","47.616219499999964, 12.705694900000012"
"47.48679890000001, 15.028242600000015","47.33625410000086, 15.164641399999994"
"47.100120299999794, 9.654024800000077","47.2228524, 9.785230600000004"
"47.39621240000001, 9.768919999999975","47.47636040000002, 9.653431800000016"
"47.56619780000004, 12.719316800000028","47.36848510000006, 12.773051699999979"
"47.35100910000067, 13.320063799999959","47.30109290000009, 12.994927199999964"
"48.20693700000018, 16.552895","48.21199450000002, 16.307305499999966"
"48.280393699999834, 16.351945800000014","48.32141829999999, 16.112502899999964"
"47.61062199999997, 12.729300000000036","47.378969499999975, 12.937124400000089"
"47.58805480000001, 12.710383999999955","47.374863300000065, 12.801738100000055"
"47.118228900000034, 15.305516299999976","47.117268799999984, 15.538222999999999"
"47.5526851, 12.727685999999977","47.3357401, 12.86494050000001"
"47.98982410000023, 16.017911399999992","47.94432029999983, 16.291712800000006"
"48.217189799999986, 16.53986919999991","48.29321780000008, 16.198212199999965"
"48.20340970000013, 16.52854440000001","48.22832890000012, 16.255477399999975"
"47.57336079999988, 12.710701899999982","47.33842869999989, 12.851083699999977"
"47.09983379999997, 9.906145300000029","47.00328980000107, 9.979097499999956"
"47.46762000000006, 9.813883699999993","47.34485589999989, 9.742628500000048"
"48.29377220000003, 16.318350999999986","48.3244488000001, 16.07529139999999"
"48.199725900000665, 16.48820720000004","48.304291900000194, 16.238740900000025"
"47.31484600000001, 13.046802200000007","47.35967109999998, 13.350768500000038"
"48.211109499999786, 16.218002999999985","48.27902009999987, 16.435094700000004"
"47.37619769999997, 12.817016800000003","47.60781599999991, 12.721320999999968"
"47.13945140000038, 9.676270499999998","47.23146939999992, 9.8595338"
"47.38537189999998, 12.796585300000004","47.57224079999994, 12.680032599999958"
"47.489671499999936, 9.643898100000008","47.34531949999982, 9.74737200000001"
"48.18197790000003, 16.606457100000004","48.31532090000025, 16.249840099999936"
"47.41345609999994, 12.924672699999961","47.5821564, 12.6968961"
"47.91679850000024, 16.179436200000023","47.98970990000011, 15.963172799999974"
"47.37479960000012, 12.809691899999937","47.60855559999997, 12.723082000000034"
"47.46783999999984, 9.644526199999985","47.39912900000036, 9.778404900000073"
"48.254065600000004, 16.15420899999999","48.089036399999934, 16.283488900000087"
"47.24539650000008, 9.972527200000034","47.08665159999992, 9.651649900000015"
"47.340283300000095, 12.807029299999964","47.582446999999966, 12.689235800000004"
"47.62595510000015, 12.728371000000003","47.42793299999999, 12.752423999999943"
"47.359036699999976, 9.772775499999998","47.46170890000015, 9.623654499999997"
"47.35587390000002, 13.32933850000003","47.28944220000001, 12.971414699999997"
"48.21920300000003, 16.51016700000002","48.22038759999985, 16.248448799999945"
"47.11587110000014, 9.654919800000018","47.22263429999995, 9.805703899999997"
"47.355680299999754, 9.77009650000001","47.46589480000017, 9.791822600000028"
"48.16464020000004, 16.518017100000012","48.239161900000134, 16.204960899999957"
"48.172508999999906, 16.58679500000002","48.212796700000446, 16.28470010000011"
"47.466342100000375, 9.623545300000028","47.39979639999988, 9.784511899999991"
"48.186764999999724, 16.58527900000011","48.31532090000025, 16.249840099999936"
"48.26765600000023, 16.235351399999992","48.30913249999995, 16.472124599999987"
"47.088941299999455, 9.651468100000065","47.21433540000004, 9.806747000000096"
"47.56723380000001, 12.720590600000007","47.359560900000716, 12.721682200000002"
"47.32637139999983, 12.814464100000016","47.57916279999998, 12.680859099999957"
"48.19874740000002, 16.5671654","48.225665500000105, 16.323764999999987"
"47.35220499999979, 9.76283700000001","47.48376639999983, 9.62363720000007"
"47.57701810000009, 12.688978799999989","47.394308400000554, 12.808269799999984"
"47.409862399999945, 12.88490369999999","47.59603879999999, 12.697846600000005"
"48.22103780000011, 16.479878400000025","48.215235300000195, 16.24131589999994"
"48.153383800000135, 16.366697599999956","48.24416459999965, 16.161979200000083"
"47.60628999999983, 12.713238599999999","47.35919020000071, 12.7206545"
"47.39506429999991, 9.74877439999999","47.47194259999986, 9.594178000000005"
"47.344359199999985, 13.327577100000017","47.32840530000073, 13.062473700000004"
"47.36411410000029, 9.771710699999982","47.47175750000003, 9.66678199999999"
"48.26097200000011, 16.17356189999997","48.148759199999915, 16.359528300000004"
"47.38816099999996, 12.829391999999988","47.589089199999975, 12.707534299999999"
"47.61298000000045, 12.705378099999987","47.32996620000011, 12.770715200000044"
"47.36349829999999, 9.771170699999994","47.46756089999997, 9.638066399999987"
"48.22453900000031, 16.18716480000001","48.28947660000001, 16.415134300000087"
"47.090559000000404, 15.352201300000042","47.106070600000294, 15.588969000000006"
"47.23048650000049, 9.863115400000018","47.11972319999977, 9.656846500000084"
"48.20284599999993, 16.373560600000005","48.347290999999984, 16.270699500000067"
"47.47145809999985, 9.748289100000001","47.38779139999998, 9.871311700000001"
"47.322924200000045, 15.179946899999912","47.45193629999961, 15.029698600000026"
"47.56977259999991, 12.679134599999998","47.38133520000042, 12.949319099999963"
"47.33358119999986, 15.172905000000139","47.46730000000005, 15.026352300000003"
"48.19186769999996, 16.551033499999978","48.31636860000001, 16.283471199999987"
"47.39357729999993, 12.803398499999995","47.62668969999999, 12.722603999999999"
"47.36052220000013, 12.811798300000007","47.5678687999999, 12.675969299999997"
"48.233706699999814, 16.519801600000022","48.30027410000035, 16.234056400000014"
"47.688052299999946, 15.9877994","47.85150179999994, 16.079491800000014"
"47.132671300000396, 9.664524999999996","47.22219220000033, 9.777403499999952"
"47.22050060000009, 9.835260500000034","47.10184110000016, 9.653723500000021"
"48.28594919999966, 16.434986700000017","48.32753290000019, 16.19534240000004"
"47.47715450000018, 9.587439000000057","47.35022189999995, 9.758621899999984"
"47.34230480000094, 15.145015000000003","47.50806030000006, 15.036777900000004"
"47.56781560000002, 12.719347700000007","47.36622790000071, 12.728103299999997"
"48.25010830000003, 16.16914400000002","48.09790879999981, 16.29365329999993"
"47.40830139999996, 12.850776199999995","47.60278360000022, 12.703800400000022"
"47.920986899999974, 16.187374400000014","47.993727300000025, 15.958417999999963"
"47.52071720000041, 12.752285899999952","47.33575110000007, 12.843196199999973"
"48.30156019999992, 16.469927199999994","48.20902949999996, 16.26950019999998"
"48.255588200000105, 16.417663199999936","48.3072934999998, 16.17126349999998"
"47.11275260000014, 9.654122500000017","47.21698790000032, 9.783869699999935"
"47.495912100000126, 15.031202299999988","47.31609440000016, 15.185296300000005"
"47.48429910000013, 15.028984099999999","47.32710470000032, 15.177972199999957"
"47.498149899999845, 9.63350659999997","47.46897489999948, 9.801040799999926"
"48.17761149999991, 16.595396300000026","48.29191130000019, 16.437873700000047"
"48.17347299999999, 16.49781579999999","48.326512499999986, 16.20214180000002"
"47.25228159999975, 9.652252500000115","47.086692700000434, 9.649942799999984"
"47.92749340000025, 16.252908099999956","47.98782470000026, 15.958312099999992"
"47.6008433, 12.712805500000002","47.33517050000042, 12.820759100000052"
"48.01618500000002, 15.94597570000001","47.937450599999636, 16.226643900000067"
"47.3689745999998, 9.772966500000013","47.4846988999998, 9.623764799999911"
"47.0824631, 15.330909900000014","47.10706720000016, 15.594735499999992"
"47.36746850000057, 12.757418199999961","47.5746288000001, 12.70917279999998"
"47.319858500000045, 15.182222699999912","47.43570720000017, 14.986371099999916"
"47.9044477999999, 16.17461149999999","48.01044279999982, 15.942456400000015"
"46.779549100000104, 15.302604699999948","46.85060239999998, 15.683759600000023"
"47.205605700000014, 9.795384799999999","46.99371489999992, 10.028112600000025"
"48.21370600000035, 16.51634160000005","48.58146930000008, 16.371824099999913"
"46.911329199999926, 15.884984500000018","47.23894330000004, 15.639716900000037"
"46.714949899999716, 13.254276699999902","46.81936060000011, 12.754124199999975"
